station,station_id,station_group,path,n_windows,train_windows,val_windows,test_windows,obs_fraction,obs_fraction_T,obs_fraction_RH,obs_fraction_wspd,obs_fraction_P,obs_fraction_q
Butcher Ridge,butcher_ridge,heldout,data/antaws/processed/butcher_ridge_impute.npz,878,614,87,177,0.8012718558311462,0.7712536454200745,0.9590383768081665,0.5457750558853149,0.9590383768081665,0.7712536454200745
Mount Sidley,mount_sidley,heldout,data/antaws/processed/mount_sidley_impute.npz,711,497,71,143,0.8599859476089478,0.8313491940498352,0.9494507908821106,0.7320926189422607,0.9896021485328674,0.7974348664283752
Nico,nico,heldout,data/antaws/processed/nico_impute.npz,1754,1227,175,352,0.935422420501709,0.8973672389984131,0.9871687889099121,0.9080638885498047,0.987453818321228,0.8970584273338318
Sabrina,sabrina,heldout,data/antaws/processed/sabrina_impute.npz,892,624,89,179,0.8136944770812988,0.8292961120605469,0.842795729637146,0.7827848196029663,0.951006293296814,0.662589430809021
Zhongshan,zhongshan,heldout,data/antaws/processed/zhongshan_impute.npz,2191,1533,219,439,0.6555655002593994,0.7445828318595886,0.5984845757484436,0.5852024555206299,0.7993876338005066,0.5501700639724731
Alessandra,alessandra,main,data/antaws/processed/alessandra_impute.npz,2260,1582,226,452,0.840165913105011,0.8881110548973083,0.9518015384674072,0.5192688703536987,0.9792219996452332,0.8624262809753418
Arelis,arelis,main,data/antaws/processed/arelis_impute.npz,2163,1514,216,433,0.6484561562538147,0.9442023038864136,0.5362399220466614,0.2617836892604828,0.9842948317527771,0.5157601833343506
aws05,aws05,main,data/antaws/processed/aws05_impute.npz,1116,781,111,224,0.8827295899391174,0.8331466317176819,0.9210402965545654,0.9024684429168701,0.9872205257415771,0.769771933555603
aws06,aws06,main,data/antaws/processed/aws06_impute.npz,773,541,77,155,0.8906948566436768,0.8193956613540649,0.9334226846694946,0.9379196763038635,0.9961652159690857,0.7665711641311646
aws11 ,aws11,main,data/antaws/processed/aws11_impute.npz,760,532,76,152,0.7503508925437927,0.8888940811157227,0.5509476661682129,0.8426613211631775,0.9785870909690857,0.49066415429115295
Bear Peninsula,bear_peninsula,main,data/antaws/processed/bear_peninsula_impute.npz,574,401,57,116,0.7999502420425415,0.9015575647354126,0.8967148065567017,0.4048241376876831,0.9500373601913452,0.8466172814369202
Cape Bird,cape_bird,main,data/antaws/processed/cape_bird_impute.npz,1406,984,140,282,0.7331555485725403,0.9068998694419861,0.5540498495101929,0.7472016215324402,0.9606194496154785,0.4970068633556366
Clean Air,clean_air,main,data/antaws/processed/clean_air_impute.npz,1207,844,120,243,0.6961948275566101,0.8660048246383667,0.5028356313705444,0.9469611644744873,0.8374758362770081,0.3276965618133545
Eneide,eneide,main,data/antaws/processed/eneide_impute.npz,2299,1609,229,461,0.8047681450843811,0.933532178401947,0.9395673871040344,0.2739907503128052,0.9756441712379456,0.901106059551239
Erin,erin,main,data/antaws/processed/erin_impute.npz,826,578,82,166,0.8636688590049744,0.9231595396995544,0.9338536262512207,0.6029415726661682,0.9622319340705872,0.8961576223373413
Gill,gill,main,data/antaws/processed/gill_impute.npz,2005,1403,200,402,0.6002208590507507,0.7727912068367004,0.2658502459526062,0.7712801098823547,0.9824724197387695,0.20871037244796753
Harry,harry,main,data/antaws/processed/harry_impute.npz,1473,1031,147,295,0.7600014805793762,0.8908083438873291,0.6263941526412964,0.761694610118866,0.9653888940811157,0.5557212233543396
Henry,henry,main,data/antaws/processed/henry_impute.npz,1378,964,137,277,0.924780547618866,0.8990470767021179,0.9667263031005859,0.8917383551597595,0.9682683944702148,0.8981227278709412
Howard Nunatak,howard_nunatak,main,data/antaws/processed/howard_nunatak_impute.npz,829,580,82,167,0.8924033641815186,0.87812340259552,0.9905652403831482,0.7246395349502563,0.9905652403831482,0.87812340259552
Laurie II,laurie_ii,main,data/antaws/processed/laurie_ii_impute.npz,1400,979,140,281,0.8655603528022766,0.7818792462348938,0.9848171472549438,0.7935203909873962,0.9920493364334106,0.7755357027053833
Lola,lola,main,data/antaws/processed/lola_impute.npz,2048,1433,204,411,0.613455057144165,0.9391043782234192,0.4414934515953064,0.2775355875492096,0.991818368434906,0.4173235297203064
Lower Thwaites Glacier,lower_thwaites_glacier,main,data/antaws/processed/lower_thwaites_glacier_impute.npz,639,447,63,129,0.8788918852806091,0.8646602034568787,0.9768052697181702,0.7115656733512878,0.9767680168151855,0.8646602034568787
Manuela,manuela,main,data/antaws/processed/manuela_impute.npz,1617,1131,161,325,0.6992453932762146,0.9346967935562134,0.5501774549484253,0.49730172753334045,0.9926414489746094,0.5214094519615173
Marble Point II,marble_point_ii,main,data/antaws/processed/marble_point_ii_impute.npz,669,468,66,135,0.9030037522315979,0.8749288320541382,0.9604420065879822,0.8421418070793152,0.975567638874054,0.8619385957717896
Margaret,margaret,main,data/antaws/processed/margaret_impute.npz,913,639,91,183,0.8639805912971497,0.7675833106040955,0.9984027147293091,0.787748396396637,0.9988721013069153,0.7672964334487915
Minna Bluff,minna_bluff,main,data/antaws/processed/minna_bluff_impute.npz,1576,1103,157,316,0.7116524577140808,0.880408525466919,0.6326368451118469,0.49794915318489075,0.9786190390586853,0.5686487555503845
Silvia,silvia,main,data/antaws/processed/silvia_impute.npz,1860,1302,186,372,0.7518439292907715,0.9438492059707642,0.8014273047447205,0.2630952298641205,0.9803091287612915,0.7705389261245728
Sofia,sofia,main,data/antaws/processed/sofia_impute.npz,1039,727,103,209,0.7519501447677612,0.854295551776886,0.967058539390564,0.263394296169281,0.8918201923370361,0.7831820845603943
Theresa,theresa,main,data/antaws/processed/theresa_impute.npz,1696,1187,169,340,0.9384033679962158,0.9225699305534363,0.974600613117218,0.8980759978294373,0.9749831557273865,0.9217872619628906
Thurston Island,thurston_island,main,data/antaws/processed/thurston_island_impute.npz,677,473,67,137,0.8082559704780579,0.9115583300590515,0.9581398963928223,0.30230534076690674,0.9966501593589783,0.8726260662078857
Up Thwaites Glacier,up_thwaites_glacier,main,data/antaws/processed/up_thwaites_glacier_impute.npz,627,438,62,127,0.835507333278656,0.8127800822257996,0.9839466214179993,0.5840833187103271,0.9839466214179993,0.8127800822257996
Vito,vito,main,data/antaws/processed/vito_impute.npz,1132,792,113,227,0.851306140422821,0.7853987812995911,0.9840936660766602,0.8531307578086853,0.9202107787132263,0.7136967778205872
