station,station_id,split,eligible,selection_score,lat,lon,elev_m,institution,start,end,record_years,expected_steps,observed_steps,temporal_coverage,temperature_completeness,pressure_completeness,wind_speed_completeness,relative_humidity_completeness,core_mean_completeness,core_min_completeness,file,read_error
Theresa,theresa,main,True,155.6573112969868,-84.6,-115.85,1454.0,AMRC,1994-11-01T00:00:00,2021-12-31T21:00:00,27.16769336071184,79384,79384,1.0,0.8308979139373174,0.8780358762471027,0.8087649904262824,0.8776957573314522,0.8488486344855387,0.8087649904262824,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Theresa_3h.csv,
Nico,nico,main,True,151.9171308534743,-89.0,90.02,2979.0,AMRC,1993-01-01T00:00:00,2021-12-31T21:00:00,28.999315537303218,84736,84736,1.0,0.7819226774924471,0.8607793617824774,0.7915643882175226,0.8604961291540786,0.8236906391616314,0.7819226774924471,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Nico_3h.csv,
Laurie II,laurie_ii,main,True,150.03201124297314,-77.43,170.74,34.0,AMRC,2000-02-01T00:00:00,2021-12-31T21:00:00,21.916495550992472,64040,64040,1.0,0.721470955652717,0.9159275452841974,0.7331667707682699,0.9092442223610243,0.8199523735165521,0.721470955652717,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Laurie II_3h.csv,
aws05,aws05,main,True,149.63963606735888,-73.1,-13.17,360.0,IMAU,1998-01-01T00:00:00,2014-12-31T21:00:00,16.999315537303218,49672,49672,1.0,0.786358511837655,0.9317925591882751,0.8518078595587051,0.8693227572878081,0.8598204219681108,0.786358511837655,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/aws05_3h.csv,
Alessandra,alessandra,main,True,148.80111761470772,-73.59,166.62,160.0,PNRA,1987-01-01T00:00:00,2021-11-05T21:00:00,34.847364818617386,101824,101824,1.0,0.8303936203645506,0.9155896448774355,0.4856517127592709,0.8900161062225016,0.7804127710559396,0.4856517127592709,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Alessandra_3h.csv,
Eneide,eneide,main,True,146.99262336947982,-74.7,164.09,91.0,PNRA,1987-01-01T00:00:00,2021-11-03T21:00:00,34.841889117043124,101808,101808,1.0,0.887464639321075,0.9472831211692598,0.2646746817538897,0.8928178532138928,0.7480600738645293,0.2646746817538897,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Eneide_3h.csv,
Howard Nunatak,howard_nunatak,main,True,145.46845919833112,-77.53,-86.77,1502.0,POLENET,2010-01-15T00:00:00,2021-12-31T21:00:00,11.961670088980151,34952,34952,1.0,0.8778610666056306,0.9904726482032502,0.7251373311970702,0.9904726482032502,0.8959859235523003,0.7251373311970702,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Howard Nunatak_3h.csv,
Cape Bird,cape_bird,main,True,144.45229734555411,-77.22,166.44,38.0,AMRC,1999-01-01T00:00:00,2021-12-31T21:00:00,23.000684462696782,67208,67208,1.0,0.8614599452446138,0.89166468277586,0.6754255445780264,0.4880817759790501,0.7291579871443876,0.4880817759790501,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Cape Bird_3h.csv,
Margaret,margaret,main,True,144.18186388415288,-79.98,-165.1,67.0,AMRC,2008-11-01T00:00:00,2021-12-31T21:00:00,13.166324435318275,38472,38472,1.0,0.7662975670617592,0.997426699937617,0.7869879392805157,0.9969588271990019,0.8869177583697234,0.7662975670617592,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Margaret_3h.csv,
Rita ,rita,main,True,140.77759770985142,-74.73,164.03,268.0,PNRA,1993-01-01T00:00:00,2021-12-06T21:00:00,28.930869267624914,84536,84536,1.0,0.844208384593546,0.9111266206113372,0.19166982114128892,0.839890697454339,0.6967238809501277,0.19166982114128892,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Rita_3h.csv,
Arelis,arelis,main,True,140.603021271121,-76.72,162.97,150.0,PNRA,1990-01-01T00:00:00,2021-12-02T21:00:00,31.920602327173167,93272,93272,1.0,0.9341174200188695,0.9736898533321897,0.25878077022043056,0.5234153872544816,0.6725008577064928,0.25878077022043056,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Arelis_3h.csv,
Henry,henry,main,True,139.93875094410876,-89.0,-0.41,2781.0,AMRC,1993-01-01T00:00:00,2021-12-31T21:00:00,28.999315537303218,84736,84736,1.0,0.7529739425981873,0.816713085347432,0.6116644637462235,0.6632246034743202,0.7111440237915407,0.6116644637462235,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Henry_3h.csv,
Marble Point II,marble_point_ii,main,True,138.7789585409574,-77.44,163.76,111.0,AMRC,2011-12-01T00:00:00,2021-12-31T21:00:00,10.08624229979466,29472,29472,1.0,0.8390336590662324,0.9361088490770901,0.8083944082519001,0.9216883821932682,0.8763063246471227,0.8083944082519001,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Marble Point II_3h.csv,
aws06,aws06,main,True,138.36273671001598,-74.47,-11.52,1160.0,IMAU,1998-01-01T00:00:00,2009-12-31T21:00:00,12.0,35064,35064,1.0,0.7588980150581793,0.9229123887748117,0.8689824321241159,0.8648186173853525,0.8539028633356149,0.7588980150581793,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/aws06_3h.csv,
Marble Point,marble_point,main,True,136.66455747877205,-77.44,163.75,108.0,AMRC,1980-02-01T00:00:00,2021-12-31T21:00:00,41.91649555099247,122480,122480,1.0,0.8579033311561072,0.9625979751796212,0.7881776616590463,0.0,0.6521697419986937,0.0,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Marble Point_3h.csv,
Lola,lola,main,True,134.37740940632227,-74.14,163.43,1621.0,PNRA,1990-01-01T00:00:00,2021-12-16T21:00:00,31.958932238193018,93384,93384,1.0,0.886822153687998,0.935802707101859,0.2580956052428682,0.40755375653216824,0.6220685556412233,0.2580956052428682,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Lola_3h.csv,
Harry,harry,main,True,133.84246195706945,-83.01,-121.41,956.0,AMRC,1994-11-01T00:00:00,2021-12-31T21:00:00,27.16769336071184,79384,79384,1.0,0.7365716013302429,0.7550387987503779,0.6368285800665121,0.4886878968054016,0.6542817192381336,0.4886878968054016,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Harry_3h.csv,
Butcher Ridge,butcher_ridge,main,True,133.578591284384,-79.15,155.89,2030.0,POLENET,2008-12-09T00:00:00,2021-12-31T21:00:00,13.062286105407255,38168,38168,1.0,0.7500785998742402,0.9332687067700691,0.5314661496541605,0.9332687067700691,0.7870205407671348,0.5314661496541605,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Butcher Ridge_3h.csv,
Mount Sidley,mount_sidley,main,True,133.48408722523197,-77.13,-125.97,2123.0,POLENET,2010-01-09T00:00:00,2020-12-25T21:00:00,10.962354551676933,32032,32032,1.0,0.7794080919080919,0.928508991008991,0.6867507492507493,0.8882992007992008,0.8207417582417582,0.6867507492507493,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Mount Sidley_3h.csv,
Silvia,silvia,main,True,132.95745206774998,-73.05,169.6,568.0,PNRA,1990-01-01T00:00:00,2021-11-04T21:00:00,31.84394250513347,93048,93048,1.0,0.7968467887541913,0.8275728656177457,0.22173501848508298,0.6752966210987877,0.630362823488952,0.22173501848508298,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Silvia_3h.csv,
Sofia,sofia,main,True,131.76781741957564,-74.82,163.23,40.0,PNRA,1987-01-01T00:00:00,2002-12-31T21:00:00,16.0,46752,46752,1.0,0.8012063655030801,0.834595311430527,0.24694130732375086,0.9067633470225873,0.6973765828199864,0.24694130732375086,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Sofia_3h.csv,
Thurston Island,thurston_island,main,True,130.36887141419396,-72.53,-97.55,225.0,AMRC,2011-01-01T00:00:00,2021-12-31T21:00:00,11.000684462696784,32144,32144,1.0,0.9107142857142857,0.9937468889995023,0.2693193130910901,0.8502053260328521,0.7559964534594326,0.2693193130910901,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Thurston Island_3h.csv,
Manuela,manuela,main,True,129.6744416426513,-74.95,163.69,78.0,AMRC,1984-01-01T00:00:00,2021-12-31T21:00:00,38.001368925393564,111040,111040,1.0,0.8308537463976945,0.8813310518731988,0.30625900576368875,0.3376801152737752,0.5890309798270893,0.30625900576368875,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Manuela_3h.csv,
Butler Island,butler_island,main,True,129.1525378828017,-72.21,-60.17,91.0,AMRC,1986-03-01T00:00:00,2011-12-31T21:00:00,25.83709787816564,75496,75496,1.0,0.7699878139239165,0.8668141358482568,0.5701096746847515,0.18920207693122815,0.5990284253470382,0.18920207693122815,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Butler Island_3h.csv,
aws11 ,aws11,main,True,128.5728366488595,-71.17,-6.8,690.0,IMAU,2007-01-01T00:00:00,2019-01-30T21:00:00,12.082135523613964,35304,35304,1.0,0.8065091774303195,0.894147971901201,0.7707058690233402,0.4984704282800816,0.7424583616587357,0.4984704282800816,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/aws11_3h.csv,
Minna Bluff,minna_bluff,main,True,128.56133490217792,-78.55,166.69,895.0,AMRC,1991-01-01T00:00:00,2020-08-31T21:00:00,29.66735112936345,86688,86688,1.0,0.7241371354743448,0.8175756736803248,0.3904346622369878,0.4861687892211148,0.604579065153193,0.3904346622369878,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Minna Bluff_3h.csv,
Gill,gill,main,True,128.55557199940802,-79.82,-178.54,53.0,AMRC,1985-01-01T00:00:00,2021-12-31T21:00:00,36.99931553730322,108112,108112,1.0,0.7153229983720586,0.88244598194465,0.6213926298653248,0.2077382714222288,0.6067249704010655,0.2077382714222288,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Gill_3h.csv,
Lower Thwaites Glacier,lower_thwaites_glacier,main,True,122.90482560790875,-76.44,-107.77,999.0,POLENET,2009-12-12T00:00:00,2021-03-08T21:00:00,11.238877481177276,32840,32840,1.0,0.7116626065773447,0.8035627283800244,0.5866017052375152,0.8035931790499391,0.7263550548112058,0.5866017052375152,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Lower Thwaites Glacier_3h.csv,
Up Thwaites Glacier,up_thwaites_glacier,main,True,122.57167136394187,-77.58,-109.03,1314.0,POLENET,2010-01-15T00:00:00,2020-05-07T21:00:00,10.310746064339494,30128,30128,1.0,0.7151155071694105,0.8662705788635157,0.5152349973446628,0.8662705788635157,0.7407229155602761,0.5152349973446628,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Up Thwaites Glacier_3h.csv,
Erin,erin,main,True,121.26845460042325,-84.9,-128.87,988.0,AMRC,1994-11-01T00:00:00,2021-12-31T21:00:00,27.16769336071184,79384,79384,1.0,0.7225259498135644,0.4235740199536431,0.5710470623803285,0.4110652020558299,0.5320530585508415,0.4110652020558299,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Erin_3h.csv,
Bear Peninsula,bear_peninsula,main,True,112.26595951772805,-74.55,-111.87,416.0,AMRC,2011-01-01T00:00:00,2021-12-31T21:00:00,11.000684462696784,32144,32144,1.0,0.7312095569935291,0.7664260826281732,0.30410029865604776,0.6776381284221006,0.6198435166749626,0.30410029865604776,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Bear Peninsula_3h.csv,
Vito,vito,heldout,True,146.04836014232725,-78.41,177.83,50.0,AMRC,2004-02-01T00:00:00,2021-12-31T21:00:00,17.916495550992472,52352,52352,1.0,0.7358649144254279,0.8591648838630807,0.7807533618581907,0.8969666870415648,0.818187461797066,0.7358649144254279,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Vito_3h.csv,
Sabrina,sabrina,heldout,True,141.31104989714194,-84.24,-170.26,87.0,AMRC,2009-02-01T00:00:00,2021-12-31T21:00:00,12.914442162902121,37736,37736,1.0,0.8260281958872164,0.9484842060631757,0.7799978800084799,0.83874814500742,0.848314606741573,0.7799978800084799,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Sabrina_3h.csv,
Clean Air,clean_air,heldout,True,139.87513948713507,-90.0,0.0,2835.0,AMRC,1986-01-01T00:00:00,2005-01-31T21:00:00,19.085557837097877,55768,55768,1.0,0.7902201979629895,0.7648472242146034,0.8643307990245302,0.4585425333524602,0.7194851886386457,0.4585425333524602,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Clean Air_3h.csv,
Zhongshan,zhongshan,heldout,True,136.36840012038869,-69.37,76.38,18.0,CHINARE,1989-03-01T00:00:00,2020-12-31T21:00:00,31.838466803559207,93032,93032,1.0,0.7417340270014618,0.7964571330294953,0.5821545274744174,0.592656290308711,0.6782504944535215,0.5821545274744174,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Zhongshan_3h.csv,
LGB35,lgb35,heldout,True,110.14490721448446,-76.04,65.0,2342.0,AAD,1993-12-21T00:00:00,2008-07-01T21:00:00,14.529774127310061,42456,42456,1.0,0.7619653288110043,0.8348407763331449,0.48464292443941964,0.0,0.5203622573958923,0.0,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/LGB35_3h.csv,
Taishan,taishan,excluded,False,144.3848023896323,-73.86,76.98,2626.0,CHINARE,2012-12-24T00:00:00,2021-07-10T21:00:00,8.544832306639288,24968,24968,1.0,0.8598606215956425,0.9852210829862224,0.9883851329702018,0.9984780519064402,0.9579862223646267,0.8598606215956425,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Taishan_3h.csv,
