mode,pattern,mae_mean,rmse_mean,n
linear,long,0.37764282359017265,0.5370137426588271,9
linear,medium,0.3781080875131819,0.5377161502838135,9
linear,short,0.37870680292447406,0.5377700991100736,9
mean_bias,long,0.3805994325213962,0.5472559796439277,9
mean_bias,medium,0.38103514578607345,0.5479191939036051,9
mean_bias,short,0.3815387586752574,0.5478218595186869,9
none,long,0.3865410652425554,0.5680304500791762,9
none,medium,0.3875020543734233,0.5690894193119473,9
none,short,0.38809020320574444,0.5689753161536323,9
station_month_bias,long,0.2693871061007182,0.3913692401515113,9
station_month_bias,medium,0.2699350416660309,0.3920132252905104,9
station_month_bias,short,0.27023788955476546,0.39178463485505843,9
