config,run_name,variant,pattern,rate,seed,visible_positions,pre_copy_mae,pre_copy_rmse,post_copy_mae
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s42.yaml,ecbit_mcar_no_era5_long_r20_s42,no_era5,mcar,0.2,42,3746424,0.16441528055215954,0.25444162951774274,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s43.yaml,ecbit_mcar_no_era5_long_r20_s43,no_era5,mcar,0.2,43,3746953,0.1644914004490365,0.255028820081032,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s44.yaml,ecbit_mcar_no_era5_long_r20_s44,no_era5,mcar,0.2,44,3746718,0.1646661389819203,0.2557409196986079,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s42.yaml,ecbit_mcar_no_era5_long_r40_s42,no_era5,mcar,0.4,42,2810588,0.15896890874785088,0.24963650386879047,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s43.yaml,ecbit_mcar_no_era5_long_r40_s43,no_era5,mcar,0.4,43,2811319,0.15867262709706392,0.248421285571286,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s44.yaml,ecbit_mcar_no_era5_long_r40_s44,no_era5,mcar,0.4,44,2810644,0.15701845090269181,0.24669445510511603,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s42.yaml,ecbit_mcar_no_era5_long_r60_s42,no_era5,mcar,0.6,42,1873237,0.1603909663339658,0.252804495914394,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s43.yaml,ecbit_mcar_no_era5_long_r60_s43,no_era5,mcar,0.6,43,1873354,0.16011899959077408,0.2525689691569738,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s44.yaml,ecbit_mcar_no_era5_long_r60_s44,no_era5,mcar,0.6,44,1872914,0.15841002191148143,0.2502703624730166,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s42.yaml,ecbit_mcar_no_era5_medium_r20_s42,no_era5,mcar,0.2,42,3746424,0.16441528055215954,0.25444162951774274,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s43.yaml,ecbit_mcar_no_era5_medium_r20_s43,no_era5,mcar,0.2,43,3746953,0.1644914004490365,0.255028820081032,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s44.yaml,ecbit_mcar_no_era5_medium_r20_s44,no_era5,mcar,0.2,44,3746718,0.1646661389819203,0.2557409196986079,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s42.yaml,ecbit_mcar_no_era5_medium_r40_s42,no_era5,mcar,0.4,42,2810588,0.15896890874785088,0.24963650386879047,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s43.yaml,ecbit_mcar_no_era5_medium_r40_s43,no_era5,mcar,0.4,43,2811319,0.15867262709706392,0.248421285571286,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s44.yaml,ecbit_mcar_no_era5_medium_r40_s44,no_era5,mcar,0.4,44,2810644,0.15701845090269181,0.24669445510511603,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s42.yaml,ecbit_mcar_no_era5_medium_r60_s42,no_era5,mcar,0.6,42,1873237,0.1603909663339658,0.252804495914394,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s43.yaml,ecbit_mcar_no_era5_medium_r60_s43,no_era5,mcar,0.6,43,1873354,0.16011899959077408,0.2525689691569738,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s44.yaml,ecbit_mcar_no_era5_medium_r60_s44,no_era5,mcar,0.6,44,1872914,0.15841002191148143,0.2502703624730166,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s42.yaml,ecbit_mcar_no_era5_short_r20_s42,no_era5,mcar,0.2,42,3746424,0.16441528055215954,0.25444162951774274,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s43.yaml,ecbit_mcar_no_era5_short_r20_s43,no_era5,mcar,0.2,43,3746953,0.1644914004490365,0.255028820081032,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s44.yaml,ecbit_mcar_no_era5_short_r20_s44,no_era5,mcar,0.2,44,3746718,0.1646661389819203,0.2557409196986079,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_short_r40_s42.yaml,ecbit_mcar_no_era5_short_r40_s42,no_era5,mcar,0.4,42,2810588,0.15896890874785088,0.24963650386879047,0.0
experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_short_r40_s43.yaml,ecbit_mcar_no_era5_short_r40_s43,no_era5,mcar,0.4,43,2811319,0.15867262709706392,0.248421285571286,0.0
