station,station_id,station_group,seq_len_steps,train_windows,train_median_stride_steps,train_adjacent_overlap_pairs,train_min_start,train_max_start,val_windows,val_median_stride_steps,val_adjacent_overlap_pairs,val_min_start,val_max_start,test_windows,test_median_stride_steps,test_adjacent_overlap_pairs,test_min_start,test_max_start,train_val_gap_steps,train_test_gap_steps,val_test_gap_steps,test_nonoverlap_windows,test_nonoverlap_fraction
Butcher Ridge,butcher_ridge,heldout,168,614,42.0,611,0,26880,87,42.0,86,26922,30534,177,42.0,176,30576,37968,-126.0,3528.0,-126.0,45,0.2542372881355932
Mount Sidley,mount_sidley,heldout,168,497,42.0,495,0,22218,71,42.0,70,22260,25200,143,42.0,142,25242,31206,-126.0,2856.0,-126.0,36,0.2517482517482518
Nico,nico,heldout,168,1227,42.0,1224,84,56952,175,42.0,174,56994,64302,352,42.0,348,64344,84546,-126.0,7224.0,-126.0,90,0.2556818181818182
Sabrina,sabrina,heldout,168,624,42.0,622,0,26292,89,42.0,88,26334,30030,179,42.0,178,30072,37548,-126.0,3612.0,-126.0,45,0.25139664804469275
Zhongshan,zhongshan,heldout,168,1533,42.0,1530,0,65226,219,42.0,218,65268,74424,439,42.0,438,74466,92862,-126.0,9072.0,-126.0,110,0.2505694760820046
Alessandra,alessandra,main,168,1582,42.0,1579,168,67830,226,42.0,225,67872,77322,452,42.0,446,77364,101640,-126.0,9366.0,-126.0,115,0.25442477876106195
Arelis,arelis,main,168,1514,42.0,1509,84,65016,216,42.0,215,65058,74088,433,42.0,430,74130,93072,-126.0,8946.0,-126.0,109,0.2517321016166282
aws05,aws05,main,168,781,42.0,780,168,32928,111,42.0,110,32970,37590,224,42.0,223,37632,46998,-126.0,4536.0,-126.0,56,0.25
aws06,aws06,main,168,541,42.0,540,0,22680,77,42.0,76,22722,25914,155,42.0,154,25956,32424,-126.0,3108.0,-126.0,39,0.25161290322580643
aws11 ,aws11,main,168,532,42.0,529,210,25536,76,42.0,75,25578,28728,152,42.0,151,28770,35112,-126.0,3066.0,-126.0,38,0.25
Bear Peninsula,bear_peninsula,main,168,401,42.0,399,0,19656,57,42.0,56,19698,22050,116,42.0,112,22092,31332,-126.0,2268.0,-126.0,31,0.2672413793103448
Cape Bird,cape_bird,main,168,984,42.0,978,168,49098,140,42.0,139,49140,54978,282,42.0,280,55020,67032,-126.0,5754.0,-126.0,71,0.25177304964539005
Clean Air,clean_air,main,168,844,42.0,839,168,37548,120,42.0,119,37590,42588,243,42.0,240,42630,55566,-126.0,4914.0,-126.0,61,0.25102880658436216
Eneide,eneide,main,168,1609,42.0,1604,168,70644,229,42.0,228,70686,80262,461,42.0,458,80304,101640,-126.0,9492.0,-126.0,117,0.25379609544468545
Erin,erin,main,168,578,42.0,570,3444,38598,82,42.0,80,38640,42336,166,42.0,162,42378,50106,-126.0,3612.0,-126.0,43,0.25903614457831325
Gill,gill,main,168,1403,42.0,1386,126,74760,200,42.0,197,75348,87108,402,42.0,398,87150,107940,420.0,12222.0,-126.0,103,0.2562189054726368
Harry,harry,main,168,1031,42.0,1026,126,53634,147,42.0,145,53676,63420,295,42.0,293,63462,79212,-126.0,9660.0,-126.0,75,0.2542372881355932
Henry,henry,main,168,964,42.0,948,84,46914,137,42.0,136,46956,52668,277,42.0,275,52710,67158,-126.0,5628.0,-126.0,70,0.2527075812274368
Howard Nunatak,howard_nunatak,main,168,580,42.0,579,0,24318,82,42.0,81,24360,27762,167,42.0,166,27804,34776,-126.0,3318.0,-126.0,42,0.25149700598802394
Laurie II,laurie_ii,main,168,979,42.0,974,0,44940,140,42.0,138,44982,52038,281,42.0,280,52080,63840,-126.0,6972.0,-126.0,71,0.2526690391459075
Lola,lola,main,168,1433,42.0,1425,0,67368,204,42.0,203,67410,75936,411,42.0,410,75978,93198,-126.0,8442.0,-126.0,103,0.25060827250608275
Lower Thwaites Glacier,lower_thwaites_glacier,main,168,447,42.0,445,0,24024,63,42.0,62,24066,26670,129,42.0,127,26712,32634,-126.0,2520.0,-126.0,33,0.2558139534883721
Manuela,manuela,main,168,1131,42.0,1116,210,90426,161,42.0,160,90468,97188,325,42.0,324,97230,110838,-126.0,6636.0,-126.0,82,0.2523076923076923
Marble Point II,marble_point_ii,main,168,468,42.0,465,0,20748,66,42.0,65,20874,23604,135,42.0,134,23646,29274,-42.0,2730.0,-126.0,34,0.2518518518518518
Margaret,margaret,main,168,639,42.0,638,0,26796,91,42.0,90,26838,30618,183,42.0,182,30660,38304,-126.0,3696.0,-126.0,46,0.25136612021857924
Minna Bluff,minna_bluff,main,168,1103,42.0,1092,84,59304,157,42.0,154,59346,66864,316,42.0,311,66906,85764,-126.0,7434.0,-126.0,81,0.2563291139240506
Silvia,silvia,main,168,1302,42.0,1292,2562,68376,186,42.0,185,68418,76188,372,42.0,369,76230,92862,-126.0,7686.0,-126.0,94,0.25268817204301075
Sofia,sofia,main,168,727,42.0,723,168,32004,103,42.0,102,32046,36330,209,42.0,207,36372,46242,-126.0,4200.0,-126.0,53,0.2535885167464115
Theresa,theresa,main,168,1187,42.0,1175,126,57036,169,42.0,167,57078,64932,340,42.0,339,64974,79212,-126.0,7770.0,-126.0,85,0.25
Thurston Island,thurston_island,main,168,473,42.0,471,42,23394,67,42.0,66,23436,26208,137,42.0,136,26250,31962,-126.0,2688.0,-126.0,35,0.25547445255474455
Up Thwaites Glacier,up_thwaites_glacier,main,168,438,42.0,434,0,21378,62,42.0,60,21420,24612,127,42.0,126,24654,29946,-126.0,3108.0,-126.0,32,0.25196850393700787
Vito,vito,main,168,792,42.0,789,0,37884,113,42.0,112,37926,42630,227,42.0,226,42672,52164,-126.0,4620.0,-126.0,57,0.2511013215859031
