run_name,variant,pattern,rate,seed,status,n,q_consistency_mae_norm,q_consistency_mae_gkg
gated_baseline_long_r40_s42,gated_baseline,long,0.4,42,ok,89960,0.146873286184919,0.09924512076982131
gated_baseline_long_r40_s43,gated_baseline,long,0.4,43,ok,89797,0.15090866766019814,0.10197190460888518
gated_baseline_long_r40_s44,gated_baseline,long,0.4,44,ok,89917,0.15647022669821545,0.10572995483747338
gated_baseline_medium_r40_s42,gated_baseline,medium,0.4,42,ok,90526,0.16773595797926838,0.11334242539565635
gated_baseline_medium_r40_s43,gated_baseline,medium,0.4,43,ok,90650,0.16652774261626102,0.1125260185498397
gated_baseline_medium_r40_s44,gated_baseline,medium,0.4,44,ok,90483,0.16031959052822767,0.1083310447257703
gated_baseline_short_r40_s42,gated_baseline,short,0.4,42,ok,89740,0.21581859176292276,0.14583279104043625
gated_baseline_short_r40_s43,gated_baseline,short,0.4,43,ok,89929,0.23102499936581913,0.1561080558821056
gated_baseline_short_r40_s44,gated_baseline,short,0.4,44,ok,89939,0.22095324976989614,0.14930238334497895
pcr_w005_long_r40_s42,pcr_w005,long,0.4,42,ok,89960,0.12082352152714575,0.0816427866052447
pcr_w005_long_r40_s43,pcr_w005,long,0.4,43,ok,89797,0.11554066209321441,0.07807305653111149
pcr_w005_long_r40_s44,pcr_w005,long,0.4,44,ok,89917,0.1178824178054918,0.0796554275075382
pcr_w005_medium_r40_s42,pcr_w005,medium,0.4,42,ok,90526,0.116150737037909,0.07848529930713966
pcr_w005_medium_r40_s43,pcr_w005,medium,0.4,43,ok,90650,0.12025494044746277,0.0812585873401303
pcr_w005_medium_r40_s44,pcr_w005,medium,0.4,44,ok,90483,0.1130361211617013,0.07638069155277269
pcr_w005_short_r40_s42,pcr_w005,short,0.4,42,ok,89740,0.13512256776194598,0.09130492919214536
pcr_w005_short_r40_s43,pcr_w005,short,0.4,43,ok,89929,0.13905341039115754,0.09396107553206905
pcr_w005_short_r40_s44,pcr_w005,short,0.4,44,ok,89939,0.135500761388448,0.09156048431089404
