run_name,variant,pattern,rate,seed,status,n,q_consistency_mae_norm,q_consistency_mae_gkg
gated_baseline_long_r40_s42,gated_baseline,long,0.4,42,ok,8522,0.1508085890516824,0.10190428111844711
gated_baseline_long_r40_s43,gated_baseline,long,0.4,43,ok,8580,0.1606025606880099,0.10852225065787077
gated_baseline_long_r40_s44,gated_baseline,long,0.4,44,ok,8556,0.17463670528174674,0.11800539677474141
gated_baseline_medium_r40_s42,gated_baseline,medium,0.4,42,ok,8644,0.18382085952864705,0.12421128795081848
gated_baseline_medium_r40_s43,gated_baseline,medium,0.4,43,ok,8633,0.1724881654154118,0.1165535841868593
gated_baseline_medium_r40_s44,gated_baseline,medium,0.4,44,ok,8618,0.1603492990008195,0.10835112781750406
gated_baseline_short_r40_s42,gated_baseline,short,0.4,42,ok,8763,0.21322701138665412,0.14408162504546815
gated_baseline_short_r40_s43,gated_baseline,short,0.4,43,ok,8714,0.21837132147263025,0.14755772241956192
gated_baseline_short_r40_s44,gated_baseline,short,0.4,44,ok,8790,0.2092007685846843,0.14136100482615188
pcr_w005_long_r40_s42,pcr_w005,long,0.4,42,ok,8522,0.13277171917628638,0.08971640840435051
pcr_w005_long_r40_s43,pcr_w005,long,0.4,43,ok,8580,0.1337109261181527,0.09035105316233245
pcr_w005_long_r40_s44,pcr_w005,long,0.4,44,ok,8556,0.1354331453028211,0.0915147907101924
pcr_w005_medium_r40_s42,pcr_w005,medium,0.4,42,ok,8644,0.1259172784680848,0.08508473775387913
pcr_w005_medium_r40_s43,pcr_w005,medium,0.4,43,ok,8633,0.13264574740005647,0.08963130410515971
pcr_w005_medium_r40_s44,pcr_w005,medium,0.4,44,ok,8618,0.11834762123516912,0.07996978016125406
pcr_w005_short_r40_s42,pcr_w005,short,0.4,42,ok,8763,0.13554528417155226,0.09159056182377254
pcr_w005_short_r40_s43,pcr_w005,short,0.4,43,ok,8714,0.15951100319439265,0.10778466785668178
pcr_w005_short_r40_s44,pcr_w005,short,0.4,44,ok,8790,0.18940197767793657,0.1279825707480091
