run_name,pattern,rate,seed,model,variable,status,alpha,target_coverage,qhat,interval_width,test_coverage,test_mae,n_val,n_test
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,T,ok,0.1,0.9,0.3257526755332947,0.6515053510665894,0.890129029750824,0.1552717387676239,42969,44170
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,RH,ok,0.1,0.9,1.141487717628479,2.282975435256958,0.8628705143928528,0.6298850774765015,49430,49085
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,wspd,ok,0.1,0.9,0.8170340061187744,1.6340680122375488,0.9292556643486023,0.34967470169067383,25173,21401
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,P,ok,0.1,0.9,0.10938668251037598,0.21877336502075195,0.9140471816062927,0.04964841529726982,51005,50551
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,q,ok,0.1,0.9,0.5886931419372559,1.1773862838745117,0.8935370445251465,0.24922499060630798,40679,40972
itransformer_era5_long_r40_s42,long,0.4,42,itransformer_era5,all,ok,0.1,0.9,0.7341092824935913,1.4682185649871826,0.8905029296875,0.28121522068977356,209256,206179
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,T,ok,0.1,0.9,0.3267053961753845,0.653410792350769,0.8890997767448425,0.156806081533432,42972,43733
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,RH,ok,0.1,0.9,1.1414798498153687,2.2829596996307373,0.8621172308921814,0.6268370151519775,49961,49281
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,wspd,ok,0.1,0.9,0.8536450862884521,1.7072901725769043,0.9285714030265808,0.34599581360816956,24756,21266
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,P,ok,0.1,0.9,0.11806941032409668,0.23613882064819336,0.9187555313110352,0.05331478267908096,51418,50625
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,q,ok,0.1,0.9,0.5855716466903687,1.1711432933807373,0.8877925276756287,0.2529175579547882,40508,41147
itransformer_era5_long_r40_s43,long,0.4,43,itransformer_era5,all,ok,0.1,0.9,0.7325685620307922,1.4651371240615845,0.8897123336791992,0.28251394629478455,209615,206052
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,T,ok,0.1,0.9,0.3205932378768921,0.6411864757537842,0.8952251672744751,0.1498764008283615,43092,43436
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,RH,ok,0.1,0.9,1.1523371934890747,2.3046743869781494,0.8705153465270996,0.6250434517860413,50133,48917
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,wspd,ok,0.1,0.9,0.8441283702850342,1.6882567405700684,0.9283061623573303,0.34699687361717224,24741,21271
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,P,ok,0.1,0.9,0.1084219217300415,0.216843843460083,0.909238338470459,0.05152920261025429,51654,50572
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,q,ok,0.1,0.9,0.5883437395095825,1.176687479019165,0.8848263025283813,0.256396621465683,40658,41216
itransformer_era5_long_r40_s44,long,0.4,44,itransformer_era5,all,ok,0.1,0.9,0.7350960969924927,1.4701921939849854,0.8892470002174377,0.2806059718132019,210278,205412
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,T,ok,0.1,0.9,0.3096967041492462,0.6193934082984924,0.87682044506073,0.15381957590579987,40703,41062
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,RH,ok,0.1,0.9,1.1293774843215942,2.2587549686431885,0.8660393357276917,0.6159030199050903,44607,43998
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,wspd,ok,0.1,0.9,0.8192335367202759,1.6384670734405518,0.9204167127609253,0.36186715960502625,24359,20733
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,P,ok,0.1,0.9,0.1162598729133606,0.2325197458267212,0.8880042433738708,0.05862606689333916,45833,45466
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,q,ok,0.1,0.9,0.5758980512619019,1.1517961025238037,0.8921914100646973,0.24903593957424164,39144,39431
itransformer_era5_medium_r40_s42,medium,0.4,42,itransformer_era5,all,ok,0.1,0.9,0.7106757164001465,1.421351432800293,0.8889821171760559,0.28004857897758484,194646,190690
itransformer_era5_medium_r40_s43,medium,0.4,43,itransformer_era5,T,ok,0.1,0.9,0.32018885016441345,0.6403777003288269,0.8984732627868652,0.15043102204799652,39940,40413
itransformer_era5_medium_r40_s43,medium,0.4,43,itransformer_era5,RH,ok,0.1,0.9,1.1221923828125,2.244384765625,0.8667088747024536,0.6139178276062012,44500,44219
