station,lat,lon,elev_m,start_year,end_year,temperature_completeness,relative_humidity_completeness,wind_speed_completeness,pressure_completeness,specific_humidity_completeness,split
Butcher Ridge,-79.15,155.89,2030.0,2008,2021,0.7500785998742402,0.9332687067700692,0.5314661496541605,0.9332687067700692,0.7500785998742402,heldout
Mount Sidley,-77.13,-125.97,2123.0,2010,2020,0.7794080919080919,0.8882992007992008,0.6867507492507493,0.928508991008991,0.7460976523476524,heldout
Nico,-89.0,90.02,2979.0,1993,2021,0.7819226774924471,0.8604961291540786,0.7915643882175226,0.8607793617824774,0.7816276435045317,heldout
Sabrina,-84.24,-170.26,87.0,2009,2021,0.8260281958872164,0.83874814500742,0.7799978800084799,0.9484842060631756,0.6592643629425482,heldout
Zhongshan,-69.37,76.38,18.0,1989,2020,0.7417340270014618,0.592656290308711,0.5821545274744174,0.7964571330294953,0.5447265457047038,heldout
Alessandra,-73.59,166.62,160.0,1987,2021,0.8303936203645506,0.8900161062225016,0.4856517127592709,0.9155896448774355,0.8064405248271528,main
Arelis,-76.72,162.97,150.0,1990,2021,0.9341174200188695,0.5234153872544816,0.2587807702204305,0.9736898533321896,0.5034522686336735,main
Bear Peninsula,-74.55,-111.87,416.0,2011,2021,0.7312095569935291,0.6776381284221006,0.3041002986560477,0.7664260826281732,0.6393728222996515,main
Cape Bird,-77.22,166.44,38.0,1999,2021,0.8614599452446138,0.4880817759790501,0.6754255445780264,0.89166468277586,0.4376413522199738,main
Clean Air,-90.0,0.0,2835.0,1986,2005,0.7902201979629895,0.4585425333524602,0.8643307990245302,0.7648472242146034,0.2988631473246306,main
Eneide,-74.7,164.09,91.0,1987,2021,0.887464639321075,0.8928178532138928,0.2646746817538897,0.9472831211692598,0.8562981298129813,main
Erin,-84.9,-128.87,988.0,1994,2021,0.7225259498135644,0.4110652020558299,0.5710470623803285,0.4235740199536431,0.3944119721858309,main
Gill,-79.82,-178.54,53.0,1985,2021,0.7153229983720586,0.2077382714222288,0.6213926298653248,0.88244598194465,0.16316412609146072,main
Harry,-83.01,-121.41,956.0,1994,2021,0.7365716013302429,0.4886878968054016,0.6368285800665121,0.7550387987503779,0.4335382444825154,main
Henry,-89.0,-0.41,2781.0,1993,2021,0.7529739425981873,0.6632246034743202,0.6116644637462235,0.816713085347432,0.6162079871601208,main
Howard Nunatak,-77.53,-86.77,1502.0,2010,2021,0.8778610666056306,0.9904726482032502,0.7251373311970702,0.9904726482032502,0.8778610666056306,main
Laurie II,-77.43,170.74,34.0,2000,2021,0.721470955652717,0.9092442223610244,0.7331667707682699,0.9159275452841974,0.7155996252342286,main
Lola,-74.14,163.43,1621.0,1990,2021,0.886822153687998,0.4075537565321682,0.2580956052428682,0.935802707101859,0.38522659127902,main
Lower Thwaites Glacier,-76.44,-107.77,999.0,2009,2021,0.7116626065773447,0.8035931790499391,0.5866017052375152,0.8035627283800244,0.7116626065773447,main
Manuela,-74.95,163.69,78.0,1984,2021,0.8308537463976945,0.3376801152737752,0.3062590057636887,0.8813310518731988,0.3199657780979827,main
Marble Point II,-77.44,163.76,111.0,2011,2021,0.8390336590662324,0.9216883821932682,0.8083944082519001,0.93610884907709,0.8266490228013029,main
Margaret,-79.98,-165.1,67.0,2008,2021,0.7662975670617592,0.996958827199002,0.7869879392805157,0.997426699937617,0.7660116448326055,main
Minna Bluff,-78.55,166.69,895.0,1991,2020,0.7241371354743448,0.4861687892211148,0.3904346622369878,0.8175756736803248,0.43565430047988185,main
Silvia,-73.05,169.6,568.0,1990,2021,0.7968467887541913,0.6752966210987877,0.2217350184850829,0.8275728656177457,0.6492992863898203,main
Sofia,-74.82,163.23,40.0,1987,2002,0.8012063655030801,0.9067633470225872,0.2469413073237508,0.834595311430527,0.7330167693360712,main
Theresa,-84.6,-115.85,1454.0,1994,2021,0.8308979139373174,0.8776957573314522,0.8087649904262824,0.8780358762471027,0.8301924821122645,main
Thurston Island,-72.53,-97.55,225.0,2011,2021,0.9107142857142856,0.8502053260328521,0.2693193130910901,0.9937468889995024,0.7733636137381782,main
Up Thwaites Glacier,-77.58,-109.03,1314.0,2010,2020,0.7151155071694105,0.8662705788635157,0.5152349973446628,0.8662705788635157,0.7151155071694105,main
Vito,-78.41,177.83,50.0,2004,2021,0.7358649144254279,0.8969666870415648,0.7807533618581907,0.8591648838630807,0.6505004584352079,main
aws05,-73.1,-13.17,360.0,1998,2014,0.786358511837655,0.8693227572878081,0.8518078595587051,0.9317925591882752,0.7265461426960863,main
aws06,-74.47,-11.52,1160.0,1998,2009,0.7588980150581793,0.8648186173853525,0.8689824321241159,0.9229123887748116,0.7099874515172256,main
aws11 ,-71.17,-6.8,690.0,2007,2019,0.8065091774303195,0.4984704282800816,0.7707058690233402,0.894147971901201,0.44394402900521185,main
