run_name,model,variant,pattern,target_pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch
ecbit_blocklen_216h_full_s42,ecbit,full,blocklen_216h,,0.4,42,experiments/results/metrics/followup_blocklen/ecbit_blocklen_216h_full_s42/result.json,0.25849103927612305,0.3700368106365204,0.16016611456871033,0.4362104833126068,0.4244900345802307,0.053444113582372665,0.2181444615125656,0.2146570235490799,0.5796765089035034,0.6685782074928284,0.06926925480365753,0.31800299882888794,45
ecbit_blocklen_216h_full_s43,ecbit,full,blocklen_216h,,0.4,43,experiments/results/metrics/followup_blocklen/ecbit_blocklen_216h_full_s43/result.json,0.25848737359046936,0.37042176723480225,0.15825752913951874,0.437328964471817,0.4267628490924835,0.052900686860084534,0.2171867936849594,0.21356061100959778,0.5818406343460083,0.6712685227394104,0.06829231232404709,0.317146897315979,45
ecbit_blocklen_216h_full_s44,ecbit,full,blocklen_216h,,0.4,44,experiments/results/metrics/followup_blocklen/ecbit_blocklen_216h_full_s44/result.json,0.25723743438720703,0.3694689869880676,0.158103346824646,0.43578216433525085,0.42557770013809204,0.05060286447405815,0.21612095832824707,0.21247625350952148,0.5777556896209717,0.6757294535636902,0.06584018468856812,0.31554311513900757,49
ecbit_blocklen_24h_full_s42,ecbit,full,blocklen_24h,,0.4,42,experiments/results/metrics/followup_blocklen/ecbit_blocklen_24h_full_s42/result.json,0.22893421351909637,0.3303937315940857,0.13999521732330322,0.37713247537612915,0.3840144872665405,0.052204981446266174,0.19132395088672638,0.18574732542037964,0.5119726657867432,0.6047587394714355,0.06837497651576996,0.28111496567726135,47
ecbit_blocklen_24h_full_s43,ecbit,full,blocklen_24h,,0.4,43,experiments/results/metrics/followup_blocklen/ecbit_blocklen_24h_full_s43/result.json,0.23145969212055206,0.33360275626182556,0.14278019964694977,0.3779469132423401,0.3880952298641205,0.055606208741664886,0.1928698867559433,0.1888512372970581,0.5119918584823608,0.6097309589385986,0.07353471219539642,0.2839049696922302,48
ecbit_blocklen_24h_full_s44,ecbit,full,blocklen_24h,,0.4,44,experiments/results/metrics/followup_blocklen/ecbit_blocklen_24h_full_s44/result.json,0.23094442486763,0.33370882272720337,0.14054220914840698,0.3765444755554199,0.3892097771167755,0.05523698404431343,0.19318875670433044,0.18661096692085266,0.5110676288604736,0.6133384108543396,0.07362079620361328,0.2839062809944153,48
ecbit_blocklen_72h_full_s42,ecbit,full,blocklen_72h,,0.4,42,experiments/results/metrics/followup_blocklen/ecbit_blocklen_72h_full_s42/result.json,0.2477385252714157,0.355896532535553,0.15075063705444336,0.4157088100910187,0.4121050536632538,0.051311127841472626,0.20881693065166473,0.20123301446437836,0.5574976205825806,0.6459529995918274,0.0707637220621109,0.304035484790802,47
ecbit_blocklen_72h_full_s43,ecbit,full,blocklen_72h,,0.4,43,experiments/results/metrics/followup_blocklen/ecbit_blocklen_72h_full_s43/result.json,0.24759170413017273,0.3547622263431549,0.1520414799451828,0.41406115889549255,0.41236934065818787,0.050783414393663406,0.20870313048362732,0.20253178477287292,0.5538941621780396,0.6463532447814941,0.0671752467751503,0.30385661125183105,46
ecbit_blocklen_72h_full_s44,ecbit,full,blocklen_72h,,0.4,44,experiments/results/metrics/followup_blocklen/ecbit_blocklen_72h_full_s44/result.json,0.24589009582996368,0.35472190380096436,0.15059532225131989,0.41413113474845886,0.4093310534954071,0.049503836780786514,0.20588909089565277,0.2013396918773651,0.5538005232810974,0.6506901979446411,0.06642626225948334,0.30135276913642883,48
ecbit_blocklen_216h_no_era5_s42,ecbit,no_era5,blocklen_216h,,0.4,42,experiments/results/metrics/followup_blocklen/ecbit_blocklen_216h_no_era5_s42/result.json,0.3490769863128662,0.493080198764801,0.25568434596061707,0.5176084041595459,0.5863185524940491,0.09378175437450409,0.29199203848838806,0.3463348150253296,0.678147554397583,0.8838578462600708,0.13095547258853912,0.4261053800582886,48
