run_name,model,variant,pattern,target_pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch
ecbit_mcar_no_era5_long_r20_s42,ecbit,no_era5,mcar,long,0.2,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s42/result.json,0.18884775042533875,0.28327247500419617,0.12499919533729553,0.26997578144073486,0.31910258531570435,0.06309312582015991,0.16706809401512146,0.17047618329524994,0.37989386916160583,0.5332311391830444,0.08276713639497757,0.24999402463436127,48
ecbit_mcar_no_era5_medium_r20_s42,ecbit,no_era5,mcar,medium,0.2,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s42/result.json,0.18884775042533875,0.28327247500419617,0.12499919533729553,0.26997578144073486,0.31910258531570435,0.06309312582015991,0.16706809401512146,0.17047618329524994,0.37989386916160583,0.5332311391830444,0.08276713639497757,0.24999402463436127,48
ecbit_mcar_no_era5_short_r20_s42,ecbit,no_era5,mcar,short,0.2,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s42/result.json,0.18884775042533875,0.28327247500419617,0.12499919533729553,0.26997578144073486,0.31910258531570435,0.06309312582015991,0.16706809401512146,0.17047618329524994,0.37989386916160583,0.5332311391830444,0.08276713639497757,0.24999402463436127,48
ecbit_mcar_no_era5_long_r20_s43,ecbit,no_era5,mcar,long,0.2,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s43/result.json,0.18909478187561035,0.28373438119888306,0.12461480498313904,0.2706575393676758,0.32080307602882385,0.06313130259513855,0.16626718640327454,0.16955535113811493,0.3805650770664215,0.5381889939308167,0.08273656666278839,0.2476259469985962,48
ecbit_mcar_no_era5_medium_r20_s43,ecbit,no_era5,mcar,medium,0.2,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s43/result.json,0.18909478187561035,0.28373438119888306,0.12461480498313904,0.2706575393676758,0.32080307602882385,0.06313130259513855,0.16626718640327454,0.16955535113811493,0.3805650770664215,0.5381889939308167,0.08273656666278839,0.2476259469985962,48
ecbit_mcar_no_era5_short_r20_s43,ecbit,no_era5,mcar,short,0.2,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s43/result.json,0.18909478187561035,0.28373438119888306,0.12461480498313904,0.2706575393676758,0.32080307602882385,0.06313130259513855,0.16626718640327454,0.16955535113811493,0.3805650770664215,0.5381889939308167,0.08273656666278839,0.2476259469985962,48
ecbit_mcar_no_era5_long_r20_s44,ecbit,no_era5,mcar,long,0.2,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s44/result.json,0.1891452819108963,0.2838440537452698,0.12466709315776825,0.26981091499328613,0.3207075297832489,0.06278836727142334,0.1677524894475937,0.17079880833625793,0.37937992811203003,0.5352092981338501,0.0820157378911972,0.25181639194488525,47
ecbit_mcar_no_era5_medium_r20_s44,ecbit,no_era5,mcar,medium,0.2,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s44/result.json,0.1891452819108963,0.2838440537452698,0.12466709315776825,0.26981091499328613,0.3207075297832489,0.06278836727142334,0.1677524894475937,0.17079880833625793,0.37937992811203003,0.5352092981338501,0.0820157378911972,0.25181639194488525,47
ecbit_mcar_no_era5_short_r20_s44,ecbit,no_era5,mcar,short,0.2,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r20_s44/result.json,0.1891452819108963,0.2838440537452698,0.12466709315776825,0.26981091499328613,0.3207075297832489,0.06278836727142334,0.1677524894475937,0.17079880833625793,0.37937992811203003,0.5352092981338501,0.0820157378911972,0.25181639194488525,47
ecbit_mcar_no_era5_long_r40_s42,ecbit,no_era5,mcar,long,0.4,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s42/result.json,0.19815948605537415,0.2961300015449524,0.12864640355110168,0.29303738474845886,0.33629411458969116,0.06099840626120567,0.17182108759880066,0.1746046245098114,0.4110053777694702,0.5557459592819214,0.07948844134807587,0.2598055601119995,48
ecbit_mcar_no_era5_medium_r40_s42,ecbit,no_era5,mcar,medium,0.4,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s42/result.json,0.19815948605537415,0.2961300015449524,0.12864640355110168,0.29303738474845886,0.33629411458969116,0.06099840626120567,0.17182108759880066,0.1746046245098114,0.4110053777694702,0.5557459592819214,0.07948844134807587,0.2598055601119995,48
ecbit_mcar_no_era5_short_r40_s42,ecbit,no_era5,mcar,short,0.4,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r40_s42/result.json,0.19815948605537415,0.2961300015449524,0.12864640355110168,0.29303738474845886,0.33629411458969116,0.06099840626120567,0.17182108759880066,0.1746046245098114,0.4110053777694702,0.5557459592819214,0.07948844134807587,0.2598055601119995,48
ecbit_mcar_no_era5_long_r40_s43,ecbit,no_era5,mcar,long,0.4,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s43/result.json,0.19708076119422913,0.2964265048503876,0.12798716127872467,0.29027023911476135,0.3360297679901123,0.060742415487766266,0.17037424445152283,0.17348842322826385,0.40855464339256287,0.5625670552253723,0.07961447536945343,0.25790801644325256,48
ecbit_mcar_no_era5_medium_r40_s43,ecbit,no_era5,mcar,medium,0.4,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s43/result.json,0.19708076119422913,0.2964265048503876,0.12798716127872467,0.29027023911476135,0.3360297679901123,0.060742415487766266,0.17037424445152283,0.17348842322826385,0.40855464339256287,0.5625670552253723,0.07961447536945343,0.25790801644325256,48
ecbit_mcar_no_era5_short_r40_s43,ecbit,no_era5,mcar,short,0.4,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r40_s43/result.json,0.19708076119422913,0.2964265048503876,0.12798716127872467,0.29027023911476135,0.3360297679901123,0.060742415487766266,0.17037424445152283,0.17348842322826385,0.40855464339256287,0.5625670552253723,0.07961447536945343,0.25790801644325256,48
ecbit_mcar_no_era5_long_r40_s44,ecbit,no_era5,mcar,long,0.4,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s44/result.json,0.19726400077342987,0.2967236638069153,0.12885622680187225,0.29055488109588623,0.33501991629600525,0.06040455773472786,0.17148450016975403,0.17520077526569366,0.40882760286331177,0.5595853328704834,0.08025975525379181,0.25974467396736145,49
ecbit_mcar_no_era5_medium_r40_s44,ecbit,no_era5,mcar,medium,0.4,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r40_s44/result.json,0.19726400077342987,0.2967236638069153,0.12885622680187225,0.29055488109588623,0.33501991629600525,0.06040455773472786,0.17148450016975403,0.17520077526569366,0.40882760286331177,0.5595853328704834,0.08025975525379181,0.25974467396736145,49
ecbit_mcar_no_era5_short_r40_s44,ecbit,no_era5,mcar,short,0.4,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r40_s44/result.json,0.19726400077342987,0.2967236638069153,0.12885622680187225,0.29055488109588623,0.33501991629600525,0.06040455773472786,0.17148450016975403,0.17520077526569366,0.40882760286331177,0.5595853328704834,0.08025975525379181,0.25974467396736145,49
ecbit_mcar_no_era5_long_r60_s42,ecbit,no_era5,mcar,long,0.6,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s42/result.json,0.21480782330036163,0.3211018443107605,0.13998956978321075,0.32100245356559753,0.36614570021629333,0.061093997210264206,0.18580730259418488,0.19024775922298431,0.4488520324230194,0.6032505035400391,0.08048923313617706,0.28266969323158264,45
ecbit_mcar_no_era5_medium_r60_s42,ecbit,no_era5,mcar,medium,0.6,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s42/result.json,0.21480782330036163,0.3211018443107605,0.13998956978321075,0.32100245356559753,0.36614570021629333,0.061093997210264206,0.18580730259418488,0.19024775922298431,0.4488520324230194,0.6032505035400391,0.08048923313617706,0.28266969323158264,45
ecbit_mcar_no_era5_short_r60_s42,ecbit,no_era5,mcar,short,0.6,42,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r60_s42/result.json,0.21480782330036163,0.3211018443107605,0.13998956978321075,0.32100245356559753,0.36614570021629333,0.061093997210264206,0.18580730259418488,0.19024775922298431,0.4488520324230194,0.6032505035400391,0.08048923313617706,0.28266969323158264,45
ecbit_mcar_no_era5_long_r60_s43,ecbit,no_era5,mcar,long,0.6,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s43/result.json,0.21420438587665558,0.3218223452568054,0.13884864747524261,0.31922513246536255,0.3669511079788208,0.060825444757938385,0.18517158925533295,0.18890859186649323,0.447567880153656,0.6110496520996094,0.08081044256687164,0.2807750999927521,46
ecbit_mcar_no_era5_medium_r60_s43,ecbit,no_era5,mcar,medium,0.6,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s43/result.json,0.21420438587665558,0.3218223452568054,0.13884864747524261,0.31922513246536255,0.3669511079788208,0.060825444757938385,0.18517158925533295,0.18890859186649323,0.447567880153656,0.6110496520996094,0.08081044256687164,0.2807750999927521,46
ecbit_mcar_no_era5_short_r60_s43,ecbit,no_era5,mcar,short,0.6,43,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r60_s43/result.json,0.21420438587665558,0.3218223452568054,0.13884864747524261,0.31922513246536255,0.3669511079788208,0.060825444757938385,0.18517158925533295,0.18890859186649323,0.447567880153656,0.6110496520996094,0.08081044256687164,0.2807750999927521,46
ecbit_mcar_no_era5_long_r60_s44,ecbit,no_era5,mcar,long,0.6,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s44/result.json,0.21455545723438263,0.32230469584465027,0.1397249400615692,0.3189874589443207,0.36671414971351624,0.06140667572617531,0.185944065451622,0.19006912410259247,0.44690248370170593,0.6099523305892944,0.08268380910158157,0.28191572427749634,49
ecbit_mcar_no_era5_medium_r60_s44,ecbit,no_era5,mcar,medium,0.6,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r60_s44/result.json,0.21455545723438263,0.32230469584465027,0.1397249400615692,0.3189874589443207,0.36671414971351624,0.06140667572617531,0.185944065451622,0.19006912410259247,0.44690248370170593,0.6099523305892944,0.08268380910158157,0.28191572427749634,49
ecbit_mcar_no_era5_short_r60_s44,ecbit,no_era5,mcar,short,0.6,44,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_short_r60_s44/result.json,0.21455545723438263,0.32230469584465027,0.1397249400615692,0.3189874589443207,0.36671414971351624,0.06140667572617531,0.185944065451622,0.19006912410259247,0.44690248370170593,0.6099523305892944,0.08268380910158157,0.28191572427749634,49
