model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
ecbit,full,long,0.2,0.2682272593180339,0.0013577563522184895,3,0.38333097100257874,0.001544171994075543,3,0.16938947637875876,0.0006976483850014881,3,0.4524444242318471,0.0019367915334346452,3,0.43045249581336975,0.0007288478464730833,3,0.0656999299923579,0.0033675329359104523,3,0.2231499801079432,0.001687409273816819,3,0.22696776191393533,0.0018663682492854627,3,0.5966143210728964,0.001314767696483242,3,0.6770419279734293,0.002208203967088737,3,0.09106934815645218,0.004861284020306368,3,0.324961523214976,0.002807788665248648,3
ecbit,full,long,0.4,0.26596471667289734,0.0004540682826792564,3,0.38054899374643963,0.0014809230616482458,3,0.1651834895213445,0.0005830969082431565,3,0.45087199409802753,0.0017383991377642515,3,0.4341298043727875,0.002160307626986895,3,0.059775352478027344,0.00116735878221446,3,0.21986294289429983,0.0005445693124313901,3,0.22204354405403137,0.001231086216131442,3,0.5956823031107584,0.0004738602335732453,3,0.6835229794184366,0.007688728003916629,3,0.08033261199792226,0.0011997055768590734,3,0.3211635947227478,0.0006709878639072018,3
ecbit,full,long,0.6,0.26323191324869794,0.001077759966123862,3,0.3788757423559825,0.0016872277608912993,3,0.1611804167429606,0.0016379819168013756,3,0.45145439108212787,9.751109633311367e-05,3,0.4295191764831543,0.0026885521395599967,3,0.05572477852304777,0.0007802103148885559,3,0.21828079223632812,0.001099464334208332,3,0.2177393933137258,0.002085519384979643,3,0.5979602734247843,0.000774631774478328,3,0.6827803254127502,0.004092939325173857,3,0.07506850113471349,0.0006761527746784426,3,0.32083027561505634,0.0015300897638777869,3
ecbit,full,medium,0.2,0.2586233615875244,0.000679113432132341,3,0.36974988381067914,0.0008564420649558395,3,0.16051600376764932,0.0007256499220903919,3,0.4383602241675059,0.001699484630687529,3,0.4251119792461395,0.0023713890461943055,3,0.05275841802358627,0.0006443102569730838,3,0.21637013057867685,0.0006852727233218858,3,0.21490241587162018,0.00036864118563945407,3,0.5802753965059916,0.0026402942429336724,3,0.6701892813046774,0.005491513696058491,3,0.06857353448867798,0.0005697549725958401,3,0.31480872631073,0.0005943853716899449,3
ecbit,full,medium,0.4,0.2580719490845998,0.0007227132518753483,3,0.36997585495313007,0.0004793060047037771,3,0.15884233017762503,0.0011490199659343204,3,0.4364405373732249,0.0007986496846086117,3,0.4256101946036021,0.0011367556331478327,3,0.05231588830550512,0.001508199633985216,3,0.21715073784192404,0.0010122333239424453,3,0.21356462935606638,0.00109039057300132,3,0.5797576109568278,0.0020436796492946606,3,0.6718587279319763,0.0036119713064340603,3,0.06780058393875758,0.0017666290123351917,3,0.3168976704279582,0.0012487363505637602,3
ecbit,full,medium,0.6,0.25950392087300617,0.0012704819434701362,3,0.37347888946533203,0.0012985642744819533,3,0.1590159684419632,0.001949048077069443,3,0.4419851203759511,0.0036558929711246646,3,0.4287928243478139,0.0010081410718897727,3,0.051788086692492165,0.0010090805192441682,3,0.21593762934207916,0.0021686423397512603,3,0.21426502366860709,0.0017400145891949788,3,0.5856016079584757,0.0022629433955416735,3,0.6825796763102213,0.0032443493467838682,3,0.06822063028812408,0.001002849500658626,3,0.31672748923301697,0.0025634485095454482,3
ecbit,full,short,0.2,0.24966376026471457,0.0006615004696484094,3,0.3586981991926829,0.0008479783334711824,3,0.15353227158387503,0.0010497425389243518,3,0.4171513617038727,0.0012725275922008603,3,0.4131004512310028,0.0013964610450265648,3,0.05412576347589493,8.093290261864914e-05,3,0.21040895581245422,0.0017258558608848108,3,0.20447208980719248,0.0011602443519374592,3,0.5560668706893921,0.001606294271975387,3,0.6543924411137899,0.001552932676821573,3,0.07205036282539368,0.0005888432658741212,3,0.30650925636291504,0.002981623972686863,3
ecbit,full,short,0.4,0.2470734417438507,0.0010274335870574846,3,0.35512688755989075,0.0006668369502912724,3,0.15112914641698202,0.0007939112179751553,3,0.41463370124499005,0.0009317287309653934,3,0.41126848260561627,0.0016830583981957384,3,0.05053279300530752,0.0009293457670507033,3,0.2078030506769816,0.0016585141401174637,3,0.20170149703820547,0.0007210258728816922,3,0.5550641020139059,0.002108008901503662,3,0.6476654807726542,0.0026271152488703724,3,0.06812174369891484,0.0023184653771135535,3,0.30308162172635394,0.0014998991279429749,3
ecbit,full,short,0.6,0.2491323451201121,0.0003088107795749192,3,0.358610341946284,0.0006579833221918972,3,0.15167407194773355,9.309350200771689e-05,3,0.42046844959259033,0.0008561628204381285,3,0.415191392103831,0.0009890484591172275,3,0.05005002642671267,0.0005614643610864191,3,0.20827784637610117,0.00035309870589973725,3,0.2029939442873001,0.000439955475063944,3,0.5618415474891663,0.0014321277696292488,3,0.6581133802731832,0.0011301140011009925,3,0.0650366519888242,0.00018046865182138775,3,0.30506614844004315,0.0005600717233856242,3
ecbit,no_blockmask,mcar,0.2,0.18196908136208853,0.0009641640739405825,9,0.26833460728327435,0.0009490612767160743,9,0.11517144987980525,0.0009382354527491931,9,0.2701692183812459,0.0006144382816548641,9,0.3105543653170268,0.0016094913232262296,9,0.055030458917220436,0.000919656084314666,9,0.15891988575458527,0.0014420130614362,9,0.15416708091894785,0.0011641063094940316,9,0.3778120477994283,0.0005952527235710766,9,0.5013434986273447,0.002640253897061624,9,0.07181533177693684,0.001318797903820421,9,0.23653510212898254,0.001749334107323949,9
ecbit,no_blockmask,mcar,0.4,0.18864714105923971,0.00027300414200396943,9,0.2778582175572713,0.0009427218399791713,9,0.11700332413117091,0.00010371902330843134,9,0.2905689775943756,0.0010332429028805893,9,0.32274215420087177,0.0006514963484489316,9,0.05119029556711515,0.0002093923739584491,9,0.16173094511032104,0.00013725591685111518,9,0.15562925736109415,0.0002721275561121288,9,0.40550432602564496,0.0009223390536398784,9,0.5182604591051737,0.003554096643102099,9,0.06732232371966045,0.00020334825716906066,9,0.24257470667362213,0.00024398252830200475,9
ecbit,no_blockmask,mcar,0.6,0.19848536451657614,0.0005160818069180601,9,0.29199113448460895,0.0012346699126832997,9,0.12196192145347595,0.0006819486618282135,9,0.31402941544850665,0.0010134785415945543,9,0.3393951654434204,0.0007944145450266835,9,0.04851814856131872,0.0006710793184773391,9,0.1685221791267395,0.0004663813696027352,9,0.162343367934227,0.0011947854165584456,9,0.4364974896113078,0.0007946360965599543,9,0.5432138442993164,0.002083118886324177,9,0.06473784397045772,0.0012786481223500956,9,0.2531631390253703,0.0008663328123020836,9
ecbit,no_cross,long,0.2,0.266923854748408,0.0006212782895854874,3,0.38152291377385456,0.0018748772003004395,3,0.16749846438566843,0.0028740327483256947,3,0.45223591725031537,0.0012597986741286506,3,0.4281356632709503,0.0018431827914328115,3,0.06787281731764476,0.0019221266971217229,3,0.21887639661629996,0.0014241293862760824,3,0.22374047338962555,0.004258780912054961,3,0.5955362915992737,0.0028234310078717115,3,0.677439272403717,0.004726584477747964,3,0.09138815353314082,0.0040696697895324044,3,0.3195103605588277,0.0024802349563435855,3
ecbit,no_cross,long,0.4,0.2626301646232605,0.0007565055045953131,3,0.37740980585416156,0.0003630579465805474,3,0.16123904287815094,0.0014779928349580216,3,0.45045531789461773,0.002541035201108831,3,0.4257591863473256,0.0025273531280200793,3,0.0603863758345445,0.0026321363944134075,3,0.21531088650226593,0.0015092898811788608,3,0.21832645932833353,0.0023220404590066986,3,0.5949214299519857,0.0021982760687212703,3,0.6776715715726217,0.006532921214455486,3,0.07994948327541351,0.004208212422954722,3,0.3161801000436147,0.0017624611507341792,3
ecbit,no_cross,long,0.6,0.2623473604520162,0.0003014419307033931,3,0.3777589698632558,0.00017400727054239844,3,0.15960643192132315,0.0007817843521494527,3,0.4522591729958852,0.0006735771578540589,3,0.426996370156606,0.0010621336054943368,3,0.05889030918478966,0.00048680778295402444,3,0.21398446460564932,0.0008103800852916059,3,0.21695811549822488,0.0007005481383267794,3,0.5977731148401896,0.0003067342719335202,3,0.6799432039260864,0.0008995083139329932,3,0.07876111070315044,0.0010366194266401623,3,0.31535932421684265,0.00018909296900992758,3
ecbit,no_cross,medium,0.2,0.2606144845485687,0.001419578077225082,3,0.37310027082761127,0.0011870110256659355,3,0.16392646729946136,0.0004103743638102381,3,0.4377376139163971,0.0018924750930073234,3,0.4267218013604482,0.0043752906690048676,3,0.057562256852785744,0.0020735836889214775,3,0.21712426841259003,0.0009744096627320478,3,0.21903570493062338,0.0007674560941368127,3,0.5785051584243774,0.002545128149905911,3,0.6762567559878031,0.004394212833396658,3,0.07671058426300685,0.005083979703860982,3,0.31499316294987995,0.000983328411342405,3
ecbit,no_cross,medium,0.4,0.2594587206840515,0.0017312873265609553,3,0.3719930748144786,0.002341150902561308,3,0.16192638874053955,0.002401100756545729,3,0.43858524163564044,0.001947431249394402,3,0.4238368670145671,0.0023274184745002017,3,0.05774982770284017,0.002677948035762213,3,0.2151952882607778,0.002354052729890182,3,0.2175979514916738,0.002752367566264321,3,0.5805192987124125,0.002632980765295072,3,0.6718620856602987,0.005754057991031311,3,0.07510752975940704,0.004151942791477916,3,0.31487860282262164,0.002789400994566656,3
ecbit,no_cross,medium,0.6,0.2598349054654439,0.00014352932848141474,3,0.3740500708421071,0.00021755509656065043,3,0.15884973605473837,0.0007412194406704378,3,0.44469860196113586,0.0023622062918873107,3,0.42518694202105206,0.00206522074227631,3,0.05792825544873873,0.001222443390521302,3,0.2125109831492106,0.0009960001012563173,3,0.2152059276898702,0.0008935764231575395,3,0.5878769357999166,0.0015218269965670043,3,0.6784125765164694,0.001255032152552265,3,0.07604395846525829,0.002163188299041134,3,0.31271101037661236,0.0018002704798837084,3
ecbit,no_cross,short,0.2,0.24971459805965424,0.002424539178329382,3,0.3598778049151103,0.002441889508080287,3,0.15563621123631796,0.0016546276920227567,3,0.41711461544036865,0.002355615031359875,3,0.41168301304181415,0.004796866414300153,3,0.05285131807128588,0.001975474503678628,3,0.2112878362337748,0.0015072247363051103,3,0.2075097511212031,0.0021768769101654824,3,0.5576386054356893,0.002426384538553247,3,0.6517378489176432,0.005979316051375668,3,0.07381334404150645,0.0017044061482539637,3,0.3086893657843272,0.0011482372829435992,3
ecbit,no_cross,short,0.4,0.24889378249645233,0.0005835327663127137,3,0.3584917485713959,0.0009548906057090905,3,0.15483557681242624,0.001120572859797393,3,0.4193779528141022,0.0018040612590903644,3,0.41106229027112323,0.002678605928294921,3,0.050607070326805115,0.00042913248470399985,3,0.2085860719283422,0.00012483941202561555,3,0.20673136909802756,0.001557750887542108,3,0.5598547259966532,0.0019271278045343888,3,0.6500797669092814,0.001400383821880666,3,0.0708799958229065,0.006025318651815731,3,0.3049128254254659,0.00041052256901695966,3
ecbit,no_cross,short,0.6,0.2513646682103475,0.0008250303892662048,3,0.3613831003506978,0.0005188004590782668,3,0.15543247759342194,0.0009725848135638562,3,0.42569389939308167,0.001159637810279427,3,0.41457971930503845,0.0023542665168832123,3,0.052349006136258446,0.000794868661886486,3,0.20876818398634592,0.0006139302048123592,3,0.20795972645282745,0.0004357943486954199,3,0.5654942591985067,0.001883701859038292,3,0.658535361289978,0.0010756667566220006,3,0.06927294532457988,0.0007873688113475116,3,0.3056531846523285,0.001230670974405275,3
