model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
ecbit,full,long,0.2,0.2682272593180339,0.0013577563522184895,3,0.38333097100257874,0.001544171994075543,3,0.16938947637875876,0.0006976483850014881,3,0.4524444242318471,0.0019367915334346452,3,0.43045249581336975,0.0007288478464730833,3,0.0656999299923579,0.0033675329359104523,3,0.2231499801079432,0.001687409273816819,3,0.22696776191393533,0.0018663682492854627,3,0.5966143210728964,0.001314767696483242,3,0.6770419279734293,0.002208203967088737,3,0.09106934815645218,0.004861284020306368,3,0.324961523214976,0.002807788665248648,3
ecbit,full,long,0.4,0.26596471667289734,0.0004540682826792564,3,0.38054899374643963,0.0014809230616482458,3,0.1651834895213445,0.0005830969082431565,3,0.45087199409802753,0.0017383991377642515,3,0.4341298043727875,0.002160307626986895,3,0.059775352478027344,0.00116735878221446,3,0.21986294289429983,0.0005445693124313901,3,0.22204354405403137,0.001231086216131442,3,0.5956823031107584,0.0004738602335732453,3,0.6835229794184366,0.007688728003916629,3,0.08033261199792226,0.0011997055768590734,3,0.3211635947227478,0.0006709878639072018,3
ecbit,full,long,0.6,0.26323191324869794,0.001077759966123862,3,0.3788757423559825,0.0016872277608912993,3,0.1611804167429606,0.0016379819168013756,3,0.45145439108212787,9.751109633311367e-05,3,0.4295191764831543,0.0026885521395599967,3,0.05572477852304777,0.0007802103148885559,3,0.21828079223632812,0.001099464334208332,3,0.2177393933137258,0.002085519384979643,3,0.5979602734247843,0.000774631774478328,3,0.6827803254127502,0.004092939325173857,3,0.07506850113471349,0.0006761527746784426,3,0.32083027561505634,0.0015300897638777869,3
ecbit,full,medium,0.2,0.2586233615875244,0.000679113432132341,3,0.36974988381067914,0.0008564420649558395,3,0.16051600376764932,0.0007256499220903919,3,0.4383602241675059,0.001699484630687529,3,0.4251119792461395,0.0023713890461943055,3,0.05275841802358627,0.0006443102569730838,3,0.21637013057867685,0.0006852727233218858,3,0.21490241587162018,0.00036864118563945407,3,0.5802753965059916,0.0026402942429336724,3,0.6701892813046774,0.005491513696058491,3,0.06857353448867798,0.0005697549725958401,3,0.31480872631073,0.0005943853716899449,3
ecbit,full,medium,0.4,0.2580719490845998,0.0007227132518753483,3,0.36997585495313007,0.0004793060047037771,3,0.15884233017762503,0.0011490199659343204,3,0.4364405373732249,0.0007986496846086117,3,0.4256101946036021,0.0011367556331478327,3,0.05231588830550512,0.001508199633985216,3,0.21715073784192404,0.0010122333239424453,3,0.21356462935606638,0.00109039057300132,3,0.5797576109568278,0.0020436796492946606,3,0.6718587279319763,0.0036119713064340603,3,0.06780058393875758,0.0017666290123351917,3,0.3168976704279582,0.0012487363505637602,3
ecbit,full,medium,0.6,0.25950392087300617,0.0012704819434701362,3,0.37347888946533203,0.0012985642744819533,3,0.1590159684419632,0.001949048077069443,3,0.4419851203759511,0.0036558929711246646,3,0.4287928243478139,0.0010081410718897727,3,0.051788086692492165,0.0010090805192441682,3,0.21593762934207916,0.0021686423397512603,3,0.21426502366860709,0.0017400145891949788,3,0.5856016079584757,0.0022629433955416735,3,0.6825796763102213,0.0032443493467838682,3,0.06822063028812408,0.001002849500658626,3,0.31672748923301697,0.0025634485095454482,3
ecbit,full,short,0.2,0.24966376026471457,0.0006615004696484094,3,0.3586981991926829,0.0008479783334711824,3,0.15353227158387503,0.0010497425389243518,3,0.4171513617038727,0.0012725275922008603,3,0.4131004512310028,0.0013964610450265648,3,0.05412576347589493,8.093290261864914e-05,3,0.21040895581245422,0.0017258558608848108,3,0.20447208980719248,0.0011602443519374592,3,0.5560668706893921,0.001606294271975387,3,0.6543924411137899,0.001552932676821573,3,0.07205036282539368,0.0005888432658741212,3,0.30650925636291504,0.002981623972686863,3
ecbit,full,short,0.4,0.2468143105506897,0.0013070369925955903,2,0.35530921816825867,0.0008305879436041886,2,0.15067297965288162,0.00010982415050726213,2,0.41491997241973877,0.0011155849332348542,2,0.41071805357933044,0.001961514329697008,2,0.05040748231112957,0.0012779477645889776,2,0.20735301077365875,0.0020702953457036257,2,0.20128635317087173,7.543232212237259e-05,2,0.555649071931839,0.002614242572585224,2,0.6483215987682343,0.003349705079100325,2,0.06859499216079712,0.003067047239562014,2,0.3026941269636154,0.001896966431202574,2
ecbit,full,short,0.6,0.24900908768177032,,1,0.3587872385978699,,1,0.1517271101474762,,1,0.4209793508052826,,1,0.41407060623168945,,1,0.04979364573955536,,1,0.208474799990654,,1,0.20348185300827026,,1,0.5620688796043396,,1,0.6580175757408142,,1,0.0648730918765068,,1,0.3054946959018707,,1
ecbit,no_blockmask,mcar,0.2,0.18175381794571877,0.0010058207856273428,4,0.26819536089897156,0.0009371210318598098,4,0.11491318233311176,0.0010243460050559333,4,0.2702690660953522,0.0006127514986739514,4,0.31032126396894455,0.001587443897224689,4,0.05473162606358528,0.0010530894858124247,4,0.15853390470147133,0.001563420139590225,4,0.15384025499224663,0.0012774320902819347,4,0.3779870867729187,0.0006614460219860798,4,0.5017231181263924,0.002602467201920564,4,0.07137573324143887,0.00152281576531401,4,0.23605063557624817,0.001912846651756804,4
ecbit,no_blockmask,mcar,0.4,0.1887291193008423,0.00024957627667980043,5,0.278228235244751,0.0009215177808089705,5,0.11700337678194046,8.46862585964453e-05,5,0.2906991422176361,0.0008622616011912706,5,0.32307329773902893,0.0006989778788083569,5,0.05121035203337669,0.00017315990239056097,5,0.1616594076156616,0.0001488454985836607,5,0.15576596856117247,0.00029053846266727853,5,0.40554962158203123,0.0007556364649580839,5,0.5198697209358215,0.003643734410814281,5,0.06742357015609741,0.00021630380440505832,5,0.2425322562456131,0.00020751820538438768,5
ecbit,no_blockmask,mcar,0.6,0.19850146174430847,0.000594287110483991,5,0.29194243550300597,0.0014194222275202126,5,0.12191250920295715,0.00077573203560619,5,0.31397480368614195,0.0011606679131499333,5,0.33960041403770447,0.000724918548217481,5,0.04853636473417282,0.0007732881427815046,5,0.1684832125902176,0.0005278517881812859,5,0.16232158243656158,0.001378328708804135,5,0.43648373484611513,0.0009167931879837559,5,0.5431341409683228,0.0023954542510335164,5,0.06470703631639481,0.0014740430877135593,5,0.25306570529937744,0.0009641110275042375,5
ecbit,no_cross,long,0.2,0.26635247468948364,,1,0.37936699390411377,,1,0.1644100546836853,,1,0.4508010745048523,,1,0.42975175380706787,,1,0.06704028695821762,,1,0.21975918114185333,,1,0.2194773405790329,,1,0.5934851765632629,,1,0.6729565858840942,,1,0.08982180058956146,,1,0.3210941255092621,,1
ecbit,no_cross,long,0.4,0.2626902461051941,,1,0.3774978518486023,,1,0.16152828931808472,,1,0.450629860162735,,1,0.4248233139514923,,1,0.05945891886949539,,1,0.21701090037822723,,1,0.21937495470046997,,1,0.5935357213020325,,1,0.6763224005699158,,1,0.08004101365804672,,1,0.31821513175964355,,1
ecbit,no_cross,long,0.6,0.26251690089702606,9.628447542313741e-05,2,0.37774311006069183,0.00024299765508955953,2,0.15951288491487503,0.001081604036622946,2,0.4521746337413788,0.0009298016249988332,2,0.4273892939090729,0.0011532220689550825,2,0.0590555053204298,0.0005569785056055604,2,0.2144520953297615,3.688902915916e-05,2,0.21687550842761993,0.0009698411310841826,2,0.5976251363754272,0.00023829828148059487,2,0.6794246435165405,6.928941895190979e-05,2,0.0793321244418621,0.00043911220956681336,2,0.31545816361904144,0.00011356468331260397,2
ecbit,no_cross,medium,0.2,0.2620984613895416,,1,0.3738037943840027,,1,0.16439323127269745,,1,0.4387544095516205,,1,0.4316624104976654,,1,0.05744031071662903,,1,0.21824191510677338,,1,0.2190747857093811,,1,0.5791535377502441,,1,0.6803837418556213,,1,0.07537837326526642,,1,0.3150285482406616,,1
ecbit,no_cross,medium,0.4,0.2586825489997864,0.0015427432428927652,2,0.3708477318286896,0.0017581557856319444,2,0.16108684986829758,0.002702150361866821,2,0.4376046806573868,0.0013475822608630702,2,0.42276062071323395,0.0019707655629451495,2,0.05789153464138508,0.0037712499553721915,2,0.21406904608011246,0.0018634912967727965,2,0.216471329331398,0.002745066390363039,2,0.5793493092060089,0.0023773772839539996,2,0.6693715751171112,0.0053853978621765065,2,0.07511982321739197,0.005871656590158819,2,0.31392674148082733,0.003182023842299733,2
ecbit,no_cross,medium,0.6,0.2598324120044708,,1,0.37381261587142944,,1,0.15916642546653748,,1,0.44357964396476746,,1,0.427166610956192,,1,0.057867445051670074,,1,0.2113819271326065,,1,0.21581242978572845,,1,0.5862382054328918,,1,0.6794797778129578,,1,0.0764661431312561,,1,0.3110666871070862,,1
ecbit,no_cross,short,0.2,0.25033171474933624,0.0030776260985382487,2,0.35999977588653564,0.003440405097095769,2,0.1561824157834053,0.0019197784129590953,2,0.41750049591064453,0.003194436089186191,2,0.412650465965271,0.006356419105018995,2,0.0536371897906065,0.002024705626504998,2,0.21168797463178635,0.0018928255033363788,2,0.20838166773319244,0.0022172403330368577,2,0.55826535820961,0.003068838480623727,2,0.6516948640346527,0.008455374307710027,2,0.07329291477799416,0.002045707927953583,2,0.30836398899555206,0.0014148064842379464,2
ecbit,no_cross,short,0.6,0.25049954652786255,,1,0.3612462878227234,,1,0.1547657698392868,,1,0.4256422221660614,,1,0.41203781962394714,,1,0.051436178386211395,,1,0.20861560106277466,,1,0.20760907232761383,,1,0.5645074248313904,,1,0.6595291495323181,,1,0.06889498978853226,,1,0.30569079518318176,,1
ecbit,no_era5,long,0.4,0.37165847420692444,,1,0.5230971574783325,,1,0.27756211161613464,,1,0.5455411672592163,,1,0.6144800782203674,,1,0.11236473172903061,,1,0.3083442449569702,,1,0.37915942072868347,,1,0.709729790687561,,1,0.9126782417297363,,1,0.1620263010263443,,1,0.45189204812049866,,1
ecbit,no_era5,medium,0.2,0.33757609128952026,,1,0.47955313324928284,,1,0.24565179646015167,,1,0.4988577365875244,,1,0.5720728635787964,,1,0.09505748748779297,,1,0.2762405276298523,,1,0.33128783106803894,,1,0.6552326679229736,,1,0.8771832585334778,,1,0.12993714213371277,,1,0.4041246175765991,,1
ecbit,no_era5,medium,0.6,0.36755162477493286,,1,0.5166934728622437,,1,0.2757442593574524,,1,0.542236328125,,1,0.605894148349762,,1,0.09767434000968933,,1,0.31620901823043823,,1,0.3738449513912201,,1,0.7033771872520447,,1,0.9127587080001831,,1,0.13579779863357544,,1,0.45768874883651733,,1
ecbit,no_era5,short,0.4,0.31666532158851624,,1,0.4528845250606537,,1,0.2239810675382614,,1,0.4684108793735504,,1,0.5372327566146851,,1,0.082748182117939,,1,0.2709537148475647,,1,0.30264177918434143,,1,0.6207662224769592,,1,0.8319951295852661,,1,0.11528857052326202,,1,0.39373093843460083,,1
