variant,variable,variable_label,mae_raw_mean,mae_raw_std,rmse_raw_mean,rmse_raw_std,n
full,T,Temperature (deg C),2.135713849869533,0.07984450817702449,2.86458825992121,0.1132475995500611,27
full,RH,Relative humidity (\%),8.845812939012662,0.29587258862413846,11.742830174912191,0.33800373103811376,27
full,wspd,Wind speed (m s$^{-1}$),2.2499551045248514,0.04331223221333707,3.5568908991787196,0.07073303865927319,27
full,P,Pressure (hPa),4.905333559447167,0.4484771804195674,6.532938181724601,0.7239490599044524,27
full,q,Specific humidity (g kg$^{-1}$),0.1454479881024976,0.0035310001032884965,0.21247966307620683,0.005175081902415597,27
no_era5,T,Temperature (deg C),3.407225664039079,0.3327260067119586,4.62386315960257,0.4683351223135885,27
no_era5,RH,Relative humidity (\%),10.35339396441317,0.7123062143949409,13.554183893134804,0.7995012682033212,27
no_era5,wspd,Wind speed (m s$^{-1}$),3.0584672880594326,0.16431903305828335,4.664957654871399,0.19459851146935403,27
no_era5,P,Pressure (hPa),8.715716211213776,0.9844845983384372,12.169583652779691,1.5971532768237218,27
no_era5,q,Specific humidity (g kg$^{-1}$),0.19699036509072435,0.017945309163501753,0.28733722823010616,0.024087652313204935,27
