station_id,station,mode,variable,mae,n_obs
nico,Nico,none,T,0.263471394777298,10785
nico,Nico,none,RH,0.5269671082496643,11533
nico,Nico,none,wspd,0.3386624753475189,10823
nico,Nico,none,P,0.008123221807181835,11541
nico,Nico,none,q,0.03574196621775627,10779
nico,Nico,none,mean,0.23554222285747528,55461
nico,Nico,global_mean,T,0.2971327602863312,10785
nico,Nico,global_mean,RH,0.7239591479301453,11533
nico,Nico,global_mean,wspd,0.5535658597946167,10823
nico,Nico,global_mean,P,0.05857633054256439,11541
nico,Nico,global_mean,q,0.20342862606048584,10779
nico,Nico,global_mean,mean,0.36807897686958313,55461
nico,Nico,target_mean,T,0.2180427759885788,10785
nico,Nico,target_mean,RH,0.3227725625038147,11533
nico,Nico,target_mean,wspd,0.22255361080169678,10823
nico,Nico,target_mean,P,0.024142282083630562,11541
nico,Nico,target_mean,q,0.027640098705887794,10779
nico,Nico,target_mean,mean,0.16334693133831024,55461
nico,Nico,target_month,T,0.16632960736751556,10785
nico,Nico,target_month,RH,0.31784602999687195,11533
nico,Nico,target_month,wspd,0.20778751373291016,10823
nico,Nico,target_month,P,0.024170394986867905,11541
nico,Nico,target_month,q,0.026924898847937584,10779
nico,Nico,target_month,mean,0.14925158023834229,55461
nico,Nico,target_state_linear,T,0.1685006022453308,10785
nico,Nico,target_state_linear,RH,0.3184524476528168,11533
nico,Nico,target_state_linear,wspd,0.19386026263237,10823
nico,Nico,target_state_linear,P,0.024162063375115395,11541
nico,Nico,target_state_linear,q,0.026886558160185814,10779
nico,Nico,target_state_linear,mean,0.14707282185554504,55461
sabrina,Sabrina,none,T,0.17071537673473358,6204
sabrina,Sabrina,none,RH,0.5671855211257935,1692
sabrina,Sabrina,none,wspd,0.3277876079082489,5797
sabrina,Sabrina,none,P,0.015104214660823345,7548
sabrina,Sabrina,none,q,0.19602394104003906,1421
sabrina,Sabrina,none,mean,0.1902540624141693,22662
sabrina,Sabrina,global_mean,T,0.19475214183330536,6204
sabrina,Sabrina,global_mean,RH,0.5217894911766052,1692
sabrina,Sabrina,global_mean,wspd,0.3504261076450348,5797
sabrina,Sabrina,global_mean,P,0.06475500762462616,7548
sabrina,Sabrina,global_mean,q,0.24010871350765228,1421
sabrina,Sabrina,global_mean,mean,0.21853744983673096,22662
sabrina,Sabrina,target_mean,T,0.15899024903774261,6204
sabrina,Sabrina,target_mean,RH,0.546700119972229,1692
sabrina,Sabrina,target_mean,wspd,0.3231227993965149,5797
sabrina,Sabrina,target_mean,P,0.009340668097138405,7548
sabrina,Sabrina,target_mean,q,0.21652816236019135,1421
sabrina,Sabrina,target_mean,mean,0.18368743360042572,22662
sabrina,Sabrina,target_month,T,0.1525823026895523,6204
