mode,variable,mae,n_obs
global_mean,P,0.07863933965563774,50974
global_mean,RH,0.6762007176876068,45082
global_mean,T,0.29378265887498856,44613
global_mean,mean,0.3408092260360718,218925
global_mean,q,0.2326769173145294,39788
global_mean,wspd,0.4960206627845764,38468
none,P,0.06537718288600444,50974
none,RH,0.6046635508537292,45082
none,T,0.2999985098838806,44613
none,mean,0.3060663253068924,218925
none,q,0.21358053609728814,39788
none,wspd,0.4296941101551056,38468
target_mean,P,0.017697252333164215,50974
target_mean,RH,0.48412073850631715,45082
target_mean,T,0.19062771946191787,44613
target_mean,mean,0.2365579903125763,218925
target_mean,q,0.17833456583321095,39788
target_mean,wspd,0.4146556377410889,38468
target_month,P,0.017408980615437032,50974
target_month,RH,0.4540842831134796,45082
target_month,T,0.16825501024723052,44613
target_month,mean,0.22428382635116578,218925
target_month,q,0.17707619182765483,39788
target_month,wspd,0.41016884446144103,38468
target_state_linear,P,0.0173092195764184,50974
target_state_linear,RH,0.4219629943370819,45082
target_state_linear,T,0.16836506724357606,44613
target_state_linear,mean,0.21547143459320067,218925
target_state_linear,q,0.17322851680219173,39788
target_state_linear,wspd,0.3757045865058899,38468
