station,station_id,split,variable,n_steps,missing_rate,block_count,mean_block_steps,median_block_steps,p90_block_steps,max_block_steps,mean_block_hours,max_block_days,long_block_count_ge_72,long_block_missing_share
Theresa,theresa,main,T,79384,0.16910208606268265,2122,6.326107445805843,1.0,4.0,2258,18.97832233741753,282.25,17,0.6762514898688915
Theresa,theresa,main,P,79384,0.12196412375289731,119,81.36134453781513,2.0,184.0,2258,244.0840336134454,282.25,17,0.9375129105556703
Theresa,theresa,main,wspd,79384,0.1912350095737176,3563,4.260735335391524,1.0,3.0,2258,12.782206006174572,282.25,17,0.5981819379487517
Theresa,theresa,main,RH,79384,0.12230424266854782,131,74.1145038167939,2.0,178.0,2258,222.3435114503817,282.25,17,0.9349057575445463
Laurie II,laurie_ii,main,T,64040,0.27852904434728293,6234,2.8612447866538337,2.0,4.0,1301,8.5837343599615,162.625,7,0.29601390368335484
Laurie II,laurie_ii,main,P,64040,0.08407245471580263,36,149.55555555555554,2.5,664.5,1300,448.66666666666663,162.5,7,0.9788261515601783
Laurie II,laurie_ii,main,wspd,64040,0.2668332292317302,4463,3.8288146986332063,2.0,4.0,1351,11.48644409589962,168.875,9,0.39132724719101125
Laurie II,laurie_ii,main,RH,64040,0.09075577763897565,244,23.81967213114754,2.0,5.0,1300,71.45901639344262,162.5,7,0.9065726083964212
aws05,aws05,main,T,49672,0.213641488162345,3886,2.7308286155429746,2.0,4.0,2624,8.192485846628923,328.0,2,0.27214474180173387
aws05,aws05,main,P,49672,0.06820744081172492,359,9.437325905292479,1.0,2.0,2618,28.311977715877436,327.25,2,0.8506493506493507
aws05,aws05,main,wspd,49672,0.1481921404412949,2439,3.018040180401804,1.0,3.0,2618,9.054120541205412,327.25,2,0.39152289091156095
aws05,aws05,main,RH,49672,0.13067724271219197,1540,4.214935064935065,1.0,5.0,2618,12.644805194805194,327.25,2,0.44399938376213216
Alessandra,alessandra,main,T,101824,0.1696063796354494,5886,2.9340808698606864,1.0,3.0,2547,8.80224260958206,318.375,14,0.431673422119282
Alessandra,alessandra,main,P,101824,0.08441035512256442,306,28.08823529411765,1.0,11.5,2545,84.26470588235294,318.125,14,0.8667830133798721
Alessandra,alessandra,main,wspd,101824,0.5143482872407291,15178,3.450586375016471,2.0,6.0,2545,10.351759125049414,318.125,14,0.1429171519676169
Alessandra,alessandra,main,RH,101824,0.10998389377749843,457,24.505470459518598,1.0,7.0,2545,73.5164113785558,318.125,15,0.8802571658183767
Eneide,eneide,main,T,101808,0.11253536067892504,3346,3.4240884638374176,1.0,3.0,1744,10.272265391512253,218.0,11,0.5030112594920136
Eneide,eneide,main,P,101808,0.052716878830740214,864,6.211805555555555,1.0,4.0,1434,18.635416666666664,179.25,9,0.6443078069685113
Eneide,eneide,main,wspd,101808,0.7353253182461104,9969,7.5094793860969,3.0,17.0,2448,22.5284381582907,306.0,32,0.11764313002591435
Eneide,eneide,main,RH,101808,0.10718214678610719,1002,10.890219560878243,1.0,4.0,1743,32.67065868263473,217.875,15,0.8059934017595308
Vito,vito,main,T,52352,0.2641350855745721,5492,2.5178441369264384,2.0,3.0,1296,7.553532410779315,162.0,5,0.21991611223604282
Vito,vito,main,P,52352,0.14083511613691932,131,56.282442748091604,6.0,60.0,2934,168.84732824427482,366.75,12,0.8422623084226231
Vito,vito,main,wspd,52352,0.21924663814180928,1387,8.275414563806777,1.0,6.0,2850,24.82624369142033,356.25,17,0.6534239414532148
Vito,vito,main,RH,52352,0.10303331295843521,177,30.47457627118644,2.0,7.400000000000006,2949,91.42372881355932,368.625,3,0.8939562476826103
Howard Nunatak,howard_nunatak,main,T,34952,0.12213893339436942,2341,1.823579666809056,1.0,3.0,58,5.470739000427168,7.25,0,0.0
Howard Nunatak,howard_nunatak,main,P,34952,0.00952735179674983,122,2.7295081967213113,1.0,4.900000000000006,56,8.188524590163933,7.0,0,0.0
Howard Nunatak,howard_nunatak,main,wspd,34952,0.27486266880292975,3863,2.4869272586073,2.0,4.0,144,7.4607817758219,18.0,1,0.01498907046944936
Howard Nunatak,howard_nunatak,main,RH,34952,0.00952735179674983,122,2.7295081967213113,1.0,4.900000000000006,56,8.188524590163933,7.0,0,0.0
Cape Bird,cape_bird,main,T,67208,0.13854005475538628,3114,2.990044958253051,1.0,3.0,3169,8.970134874759152,396.125,4,0.407152829986038
Cape Bird,cape_bird,main,P,67208,0.10833531722413998,248,29.358870967741936,2.0,23.30000000000001,3168,88.07661290322581,396.0,6,0.8031863754978712
Cape Bird,cape_bird,main,wspd,67208,0.32457445542197355,5018,4.347150259067358,1.0,4.0,3232,13.041450777202073,404.0,7,0.5164114788667828
Cape Bird,cape_bird,main,RH,67208,0.5119182240209499,137,251.13138686131387,2.0,10.0,27314,753.3941605839416,3414.25,7,0.9866007847696556
Margaret,margaret,main,T,38472,0.2337024329382408,4295,2.0933643771827706,2.0,4.0,97,6.280093131548312,12.125,1,0.010788566344121899
Margaret,margaret,main,P,38472,0.0025733000623830316,3,33.0,1.0,77.80000000000001,97,99.0,12.125,1,0.9797979797979798
Margaret,margaret,main,wspd,38472,0.2130120607194843,747,10.970548862115127,2.0,12.0,1336,32.911646586345384,167.0,11,0.5892617449664429
Margaret,margaret,main,RH,38472,0.0030411728009981285,13,9.0,1.0,4.600000000000001,97,27.0,12.125,1,0.8290598290598291
Arelis,arelis,main,T,93272,0.06588257998113045,3764,1.6325717321997875,1.0,3.0,171,4.897715196599362,21.375,1,0.027827502034174126
Arelis,arelis,main,P,93272,0.026310146667810275,1388,1.7680115273775217,1.0,3.0,171,5.304034582132565,21.375,1,0.06968215158924206
Arelis,arelis,main,wspd,93272,0.7412192297795694,12095,5.715998346424143,3.0,13.0,171,17.147995039272427,21.375,3,0.004643089607290085
Arelis,arelis,main,RH,93272,0.4765846127455185,251,177.0996015936255,1.0,1.0,37984,531.2988047808765,4748.0,3,0.9938360478718617
Henry,henry,main,T,84736,0.2470260574018127,2452,8.536704730831975,2.0,5.0,4248,25.610114192495924,531.0,22,0.7115421364418116
Henry,henry,main,P,84736,0.18328691465256797,191,81.31413612565446,2.0,125.0,4248,243.94240837696339,531.0,21,0.9530616186980877
Henry,henry,main,wspd,84736,0.3883355362537764,543,60.60036832412523,2.0,12.0,20456,181.8011049723757,2557.0,21,0.9381267853886829
Henry,henry,main,RH,84736,0.3367753965256798,206,138.52912621359224,2.0,60.0,17536,415.5873786407767,2192.0,20,0.973718330588359
Clean Air,clean_air,main,T,55768,0.20977980203701047,3189,3.6685481342113517,1.0,4.0,2697,11.005644402634054,337.125,7,0.4406359517907513
Clean Air,clean_air,main,P,55768,0.23515277578539664,728,18.013736263736263,1.0,16.0,2697,54.04120879120879,337.125,28,0.7551471709623303
Clean Air,clean_air,main,wspd,55768,0.1356692009754698,1400,5.404285714285714,1.0,3.0,2697,16.212857142857143,337.125,7,0.6812053925455988
Clean Air,clean_air,main,RH,55768,0.5414574666475398,782,38.61381074168798,5.0,7.0,23569,115.84143222506393,2946.125,4,0.8842230759040932
Marble Point II,marble_point_ii,main,T,29472,0.16096634093376763,1733,2.7374495095210616,1.0,3.0,738,8.212348528563185,92.25,4,0.3092327150084317
Marble Point II,marble_point_ii,main,P,29472,0.06389115092290988,109,17.275229357798164,2.0,10.600000000000009,738,51.82568807339449,92.25,4,0.7785448751991503
Marble Point II,marble_point_ii,main,wspd,29472,0.19160559174809988,2184,2.5856227106227108,1.0,4.0,738,7.756868131868132,92.25,4,0.25960687090490525
Marble Point II,marble_point_ii,main,RH,29472,0.0783116178067318,95,24.294736842105262,2.0,15.400000000000034,738,72.88421052631578,92.25,5,0.8466204506065858
aws06,aws06,main,T,35064,0.24110198494182067,3075,2.749268292682927,2.0,3.0,2546,8.24780487804878,318.25,2,0.31417080671871306
aws06,aws06,main,P,35064,0.07708761122518823,19,142.26315789473685,1.0,41.19999999999994,2546,426.7894736842105,318.25,2,0.9826119126896041
aws06,aws06,main,wspd,35064,0.1310175678758841,1301,3.531129900076864,1.0,2.0,2546,10.593389700230592,318.25,2,0.5781454070526774
aws06,aws06,main,RH,35064,0.1351813826146475,766,6.18798955613577,1.0,6.0,2546,18.563968668407313,318.25,2,0.560337552742616
Lola,lola,main,T,93384,0.11317784631200206,3485,3.0327116212338594,1.0,2.0,2418,9.098134863701578,302.25,9,0.5016557857886271
Lola,lola,main,P,93384,0.06419729289814101,326,18.38957055214724,1.0,2.0,2418,55.16871165644172,302.25,9,0.9269391159299416
Lola,lola,main,wspd,93384,0.7419043947571319,11808,5.867378048780488,3.0,12.0,2423,17.602134146341463,302.875,11,0.1033457463699085
Lola,lola,main,RH,93384,0.5924462434678317,207,267.2705314009662,1.0,1.0,55010,801.8115942028986,6876.25,2,0.996168097605061
Harry,harry,main,T,79384,0.26342839866975715,3362,6.220107079119572,2.0,3.0,6093,18.660321237358716,761.625,7,0.6898431522570773
Harry,harry,main,P,79384,0.2449612012496221,223,87.20179372197309,3.0,22.400000000000034,6093,261.60538116591925,761.625,9,0.9305255579553636
Harry,harry,main,wspd,79384,0.36317141993348784,2112,13.650568181818182,1.0,10.0,6093,40.95170454545455,761.625,33,0.7122788761706556
Harry,harry,main,RH,79384,0.5113121031945984,421,96.41330166270784,4.0,35.0,21080,289.2399049881235,2635.0,25,0.9209903917220991
Silvia,silvia,main,T,93048,0.20315321124580862,2059,9.180670228266148,1.0,3.0,2672,27.542010684798445,334.0,13,0.8200814685499657
Silvia,silvia,main,P,93048,0.17242713438225432,253,63.41501976284585,1.0,5.0,2672,190.24505928853756,334.0,13,0.9662179007728746
Silvia,silvia,main,wspd,93048,0.7782649815149171,9493,7.628357737280101,3.0,14.0,2672,22.885073211840304,334.0,17,0.24928192664604507
Silvia,silvia,main,RH,93048,0.32470337890121226,589,51.29541595925297,1.0,5.0,8768,153.8862478777589,1096.0,18,0.9576672293383642
Sofia,sofia,main,T,46752,0.19879363449691992,3668,2.533805888767721,1.0,3.0,1152,7.6014176663031625,144.0,8,0.34269421131913064
Sofia,sofia,main,P,46752,0.16540468856947296,526,14.701520912547528,1.0,3.0,2920,44.10456273764258,365.0,9,0.8591749644381224
Sofia,sofia,main,wspd,46752,0.7530586926762491,5327,6.60916087854327,3.0,14.0,1152,19.82748263562981,144.0,14,0.11344334933393928
Sofia,sofia,main,RH,46752,0.09323665297741274,602,7.240863787375416,1.0,2.0,1152,21.722591362126245,144.0,8,0.7306721725166323
Thurston Island,thurston_island,main,T,32144,0.08928571428571429,1426,2.0126227208976157,1.0,4.0,144,6.037868162692847,18.0,1,0.050174216027874564
Thurston Island,thurston_island,main,P,32144,0.00625311100049776,54,3.7222222222222223,1.0,1.0,144,11.166666666666668,18.0,1,0.7164179104477612
Thurston Island,thurston_island,main,wspd,32144,0.7306806869089099,2315,10.145572354211662,2.0,7.0,7598,30.436717062634987,949.75,7,0.667560778302891
